instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[5,3]",Reward,POMCP [frozen],POMCP [rollout=preferred],12.813,9.524,3.2890000000000015,0.7655486730993485,12.104387333568079,6.706602403111e-30,5,0.0014404941008499736,4.8721247841393955,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [rollout=random],12.813,9.5,3.3130000000000006,0.7800295642969529,12.333350327235646,1.0831467869705615e-30,5,0.0014661286882348221,4.9255228490863505,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [rollout=hindsight],12.813,12.172,0.641,0.08357041598054826,1.3213642975313316,0.18672805333840845,5,0.29009171931553357,0.7173657305896185,False,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [discount=0.95],12.813,9.5,3.3130000000000006,0.7800295642969529,12.333350327235646,1.0831467869705615e-30,5,0.0014661286882348221,4.9255228490863505,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [discount=0.99],12.813,10.053,2.76,0.5862205912524898,9.268961398242238,2.1661284535143427e-19,5,0.002480908765972363,4.037590111565301,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [belief=particle],12.813,12.934,-0.12099999999999866,-0.01940329705082599,-0.3067930639871902,0.7590652196405876,5,0.8134974189915152,-0.15545352490423178,False,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [reuse_subtree],12.813,12.377,0.43599999999999994,0.0785087021281751,1.2413315743437092,0.21478337250774193,5,0.3880509991162032,0.5924533751225546,False,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [leaf=zero],12.813,9.5,3.3130000000000006,0.7800295642969529,12.333350327235646,1.0831467869705615e-30,5,0.0014661286882348221,4.9255228490863505,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [leaf=greedy_belief],12.813,14.516,-1.7029999999999994,-0.2471763806529652,-3.908201733300737,9.962855647876558e-05,5,0.014813254332767081,-1.982940641400205,True,False
"RS[5,3]",Reward,POMCP [frozen],POMCP [no_budget_aware_horizon],12.813,12.813,0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
"RS[5,3]",Reward,POMCP [frozen],Rollout only (preferred),12.813,10.082,2.731,0.3376142158802534,5.338149463166951,1.2123854041768086e-07,5,0.0013174486381287783,3.082983905095576,True,False
"RS[5,3]",Reward,POMCP [frozen],Rollout only (approach),12.813,17.155,-4.3420000000000005,-0.5635006350983165,-8.909727349310499,2.976234986172895e-18,5,0.00010299442570942226,-4.487681509198983,True,True
"RS[5,3]",Reward,POMCP [frozen],Rollout only (random),12.813,6.839,5.974,1.2073116326447866,19.089273023870113,1.9594389288450984e-67,5,4.222314832128103e-05,8.346983089658258,True,True
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [rollout=random],9.524,9.5,0.023999999999999133,0.037096935628299604,0.5865540539903813,0.5577684926872885,5,0.5447691927746396,0.4180239554185182,False,False
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [rollout=hindsight],9.524,12.172,-2.6480000000000015,-0.4124888736166985,-6.522021750530519,1.6747102424740865e-10,5,0.0019517129025792886,-4.480379511713819,True,False
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [discount=0.95],9.524,9.5,0.023999999999999133,0.037096935628299604,0.5865540539903813,0.5577684926872885,5,0.5447691927746396,0.4180239554185182,False,False
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [discount=0.99],9.524,10.053,-0.5290000000000017,-0.24811769203809267,-3.9230851731229914,9.754653732996164e-05,5,0.00098471515864511,-3.925930390622579,True,False
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [belief=particle],9.524,12.934,-3.41,-0.7394272513844533,-11.691371391863827,3.4224592566208197e-28,5,0.00012931136851846334,-8.61330157049001,True,True
"RS[5,3]",Reward,POMCP [rollout=preferred],POMCP [reuse_subtree],9.524,12.377,-2.8530000000000015,-0.7846432815060601,-12.406299601539114,3.217743674860847e-31,5,7.474759578607553e-05,-9.382508268222937,True,True
