grid_size,metric,agent_a,agent_b,mean_a,mean_b,n_seeds,p_seed_level,significant_hb_seed_level
3,Reward,NavMyopic,NavInfoGain,2.0366666666666666,-1.3693333333333333,5,0.17097858290028,False
3,Reward,NavMyopic,NavEFE,2.0366666666666666,-1.2906666666666666,5,0.16579304760079647,False
3,Reward,NavInfoGain,NavEFE,-1.3693333333333333,-1.2906666666666666,5,0.9736572630334672,False
3,Success,NavMyopic,NavInfoGain,0.904,0.864,5,0.0854309935233318,False
3,Success,NavMyopic,NavEFE,0.904,0.872,5,0.16448649137584825,False
3,Success,NavInfoGain,NavEFE,0.864,0.872,5,0.7358706882958519,False
3,Observations,NavMyopic,NavInfoGain,32.086666666666666,37.29866666666667,5,0.199086109797677,False
3,Observations,NavMyopic,NavEFE,32.086666666666666,37.461333333333336,5,0.168162858184539,False
3,Observations,NavInfoGain,NavEFE,37.29866666666667,37.461333333333336,5,0.9661219217415083,False
5,Reward,NavMyopic,NavInfoGain,-16.642666666666667,-23.244,5,0.02226292988099126,True
5,Reward,NavMyopic,NavEFE,-16.642666666666667,-25.760666666666665,5,0.0017786044997476973,True
5,Reward,NavInfoGain,NavEFE,-23.244,-25.760666666666665,5,0.2672927318454182,False
5,Success,NavMyopic,NavInfoGain,0.8066666666666666,0.76,5,0.055982857319527485,False
5,Success,NavMyopic,NavEFE,0.8066666666666666,0.744,5,0.01008839198355548,True
5,Success,NavInfoGain,NavEFE,0.76,0.744,5,0.4371082489179925,False
5,Observations,NavMyopic,NavInfoGain,65.552,76.888,5,0.020181060940940014,True
5,Observations,NavMyopic,NavEFE,65.552,81.28133333333334,5,0.0014117058905497358,True
5,Observations,NavInfoGain,NavEFE,76.888,81.28133333333334,5,0.24891045768619788,False
7,Reward,NavMyopic,NavInfoGain,-38.416,-44.278666666666666,5,0.10383393649242977,False
7,Reward,NavMyopic,NavEFE,-38.416,-40.86333333333334,5,0.43624759642482014,False
7,Reward,NavInfoGain,NavEFE,-44.278666666666666,-40.86333333333334,5,0.04037779364739671,False
7,Success,NavMyopic,NavInfoGain,0.6573333333333333,0.6026666666666667,5,0.12772249473607458,False
7,Success,NavMyopic,NavEFE,0.6573333333333333,0.628,5,0.3614710428937288,False
7,Success,NavInfoGain,NavEFE,0.6026666666666667,0.628,5,0.10855016964853212,False
7,Observations,NavMyopic,NavInfoGain,103.12533333333333,112.664,5,0.10725955187091323,False
7,Observations,NavMyopic,NavEFE,103.12533333333333,106.84666666666666,5,0.46865096566291625,False
7,Observations,NavInfoGain,NavEFE,112.664,106.84666666666666,5,0.045986393957287305,False
