env,w,mean_usage,se_usage,n_seeds
"RS[5,3]",0.0,3.7039999999999997,0.11373653766490344,5
"RS[5,3]",0.001,3.7039999999999997,0.11373653766490344,5
"RS[5,3]",0.004216965034285823,3.7039999999999997,0.11373653766490344,5
"RS[5,3]",0.01778279410038923,3.7039999999999997,0.11373653766490344,5
"RS[5,3]",0.07498942093324558,3.7039999999999997,0.11373653766490344,5
"RS[5,3]",0.31622776601683794,3.0,0.0,5
"RS[5,3]",1.333521432163324,4.792,0.04882622246293479,5
"RS[5,3]",5.623413251903491,5.3919999999999995,0.08089499366462674,5
"RS[5,3]",23.71373705661655,7.9879999999999995,0.1214248738932842,5
"RS[5,3]",100.0,8.831999999999999,0.16365818036383037,5
"RS[7,4]",0.0,2.0,0.0,5
"RS[7,4]",0.001,2.0,0.0,5
"RS[7,4]",0.006812920690579615,2.0,0.0,5
"RS[7,4]",0.046415888336127795,2.0,0.0,5
"RS[7,4]",0.31622776601683794,3.0,0.0,5
"RS[7,4]",2.1544346900318843,5.766666666666667,0.07601169500660918,5
"RS[7,4]",14.677992676220706,9.153333333333332,0.34969828265075714,5
"RS[7,4]",100.0,14.540000000000001,0.2717024516308643,5
Inspection-N16,0.0,22.375999999999998,0.12416118556134989,5
Inspection-N16,0.001,22.375999999999998,0.12416118556134989,5
Inspection-N16,0.004216965034285823,22.375999999999998,0.12416118556134989,5
Inspection-N16,0.01778279410038923,22.375999999999998,0.12416118556134989,5
Inspection-N16,0.07498942093324558,22.375999999999998,0.12416118556134989,5
Inspection-N16,0.31622776601683794,22.375999999999998,0.12416118556134989,5
Inspection-N16,1.333521432163324,27.848000000000003,0.11056219968868225,5
Inspection-N16,5.623413251903491,39.720000000000006,0.23655866080107962,5
Inspection-N16,23.71373705661655,44.888,0.2002598312193438,5
Inspection-N16,100.0,58.56,0.2626023609947177,5
