env,lam,reward,reward_se,usage,usage_se,success
Tiger,0.0,5.016,0.1490801425035839,4.324,0.04509742540076749,0.994
Tiger,0.049999999999999996,5.016,0.1490801425035839,4.324,0.04509742540076749,0.994
Tiger,0.10692345999911879,5.016,0.1490801425035839,4.324,0.04509742540076749,0.994
Tiger,0.22865252596366312,5.016,0.1490801425035839,4.324,0.04509742540076749,0.994
Tiger,0.48896638427146416,5.016,0.1490801425035839,4.324,0.04509742540076749,0.994
Tiger,1.045639552591273,4.246666666666667,0.6966427428109124,2.6733333333333333,0.05033222956847169,0.9719999999999999
Tiger,2.2360679774997894,4.246666666666667,0.6966427428109124,2.6733333333333333,0.05033222956847169,0.9719999999999999
Tiger,4.781762498950183,4.246666666666667,0.6966427428109124,2.6733333333333333,0.05033222956847169,0.9719999999999999
Tiger,10.225651825635723,-7.3533333333333335,0.7656224773201068,1.0,0.0,0.8513333333333334
Tiger,21.86724147886555,-7.3533333333333335,0.7656224773201068,1.0,0.0,0.8513333333333334
Tiger,46.762422391131054,-42.50666666666667,1.0461251252970543,0.0,0.0,0.5226666666666666
Tiger,100.0,-42.50666666666667,1.0461251252970543,0.0,0.0,0.5226666666666666
Diagnosis,0.0,-1.586666666666667,0.4029005943019803,9.706666666666667,0.20313104691854023,0.9686666666666668
Diagnosis,0.049999999999999996,-1.2653333333333332,0.3943455901166443,9.785333333333332,0.20491082071097272,0.9753333333333334
Diagnosis,0.10692345999911879,-1.2973333333333334,0.3141308998207948,9.817333333333334,0.1786193967319589,0.9753333333333334
Diagnosis,0.22865252596366312,-1.4866666666666668,0.594893080963107,9.686666666666667,0.1541572069169793,0.97
Diagnosis,0.48896638427146416,-2.773333333333333,0.8663332692061024,5.933333333333334,0.07831560082980486,0.8860000000000001
Diagnosis,1.045639552591273,-2.6226666666666665,0.8280381096973201,5.942666666666666,0.08177475839836587,0.8886666666666667
Diagnosis,2.2360679774997894,-2.773333333333333,0.8663332692061024,5.933333333333334,0.07831560082980486,0.8860000000000001
Diagnosis,4.781762498950183,-13.280000000000001,0.5748043145279965,2.0,0.0,0.6453333333333333
Diagnosis,10.225651825635723,-13.280000000000001,0.5748043145279965,2.0,0.0,0.6453333333333333
Diagnosis,21.86724147886555,-34.519999999999996,0.5986651818838304,0.0,0.0,0.258
Diagnosis,46.762422391131054,-33.56,0.7082372483850308,0.0,0.0,0.274
Diagnosis,100.0,-33.56,0.7082372483850308,0.0,0.0,0.274
Bandit,0.0,6.314333333333333,0.1549046301581862,5.1033333333333335,0.11626597859123604,0.874
Bandit,0.049999999999999996,6.224333333333334,0.12267572430327574,5.199333333333334,0.10885464314090293,0.8693333333333333
Bandit,0.10692345999911879,6.258,0.07661665035167686,5.156000000000001,0.04561188928825948,0.8706666666666667
Bandit,0.22865252596366312,6.1593333333333335,0.08091422069766904,4.3693333333333335,0.05744949472749482,0.8160000000000001
Bandit,0.48896638427146416,5.648000000000001,0.1058935524214975,2.068,0.01902045682358284,0.6313333333333333
Bandit,1.045639552591273,5.63,0.11624327937562666,2.0439999999999996,0.020639767440550315,0.628
Bandit,2.2360679774997894,3.322,0.08979977728257454,0.0,0.0,0.258
Bandit,4.781762498950183,3.322,0.08979977728257454,0.0,0.0,0.258
Bandit,10.225651825635723,3.466,0.10623558725775466,0.0,0.0,0.274
Bandit,21.86724147886555,3.466,0.10623558725775466,0.0,0.0,0.274
Bandit,46.762422391131054,3.466,0.10623558725775466,0.0,0.0,0.274
Bandit,100.0,3.466,0.10623558725775466,0.0,0.0,0.274
