instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[11,11]",Reward,Rollout only (approach),"POMCP (H=10, 2048 sims)",28.658,12.938,15.72,1.2648105741910909,19.99841111554614,8.297183399767729e-69,5,1.6724926374123168e-05,11.50255919973305,True,True
"RS[11,11]",Reward,Rollout only (approach),"POMCP (H=15, 2048 sims)",28.658,-7.535,36.193,1.9931924554333944,31.515139871165907,7.820674405329396e-151,5,3.4271877179501675e-08,15.720209465295628,True,True
"RS[11,11]",Reward,Rollout only (approach),"POMCP (H=25, 2048 sims)",28.658,-34.645,63.303000000000004,2.889375666741548,45.685040613854575,8.978020558612492e-231,5,2.5016066238141766e-10,28.791670944170342,True,True
"RS[11,11]",Reward,Rollout only (approach),"POMCP (H=40, 2048 sims)",28.658,-54.779,83.43700000000001,4.669211909370912,73.8267225579789,0.0,5,2.0912331551848206e-12,44.02146056911678,True,True
"RS[11,11]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=15, 2048 sims)",12.938,-7.535,20.473,1.4243714577003461,22.52129020233637,3.4282342186187898e-81,5,4.260661696272101e-05,10.618560261434947,True,True
"RS[11,11]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=25, 2048 sims)",12.938,-34.645,47.583000000000006,2.5188231729685993,39.82609124896518,1.7975161874243455e-163,5,7.56256122007096e-07,26.391315356954312,True,True
"RS[11,11]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=40, 2048 sims)",12.938,-54.779,67.717,4.834557603942759,76.44106753872677,1.169756119711428e-306,5,2.6500185108782855e-08,47.77488331100831,True,True
"RS[11,11]",Reward,"POMCP (H=15, 2048 sims)","POMCP (H=25, 2048 sims)",-7.535,-34.645,27.110000000000003,1.175236005120707,18.58211282209371,9.821153734159814e-66,5,1.8640724771629328e-07,10.486279993157495,True,True
"RS[11,11]",Reward,"POMCP (H=15, 2048 sims)","POMCP (H=40, 2048 sims)",-7.535,-54.779,47.244,2.4513236643998275,38.758830308868326,3.461903997969241e-201,5,4.1922685421537295e-09,20.251924274332588,True,True
"RS[11,11]",Reward,"POMCP (H=25, 2048 sims)","POMCP (H=40, 2048 sims)",-34.645,-54.779,20.134,0.8814793701091742,13.937412599977682,3.6258812891511273e-40,5,1.007753965275438e-06,9.026405986144415,True,True
"RS[11,11]",Bad,Rollout only (approach),"POMCP (H=10, 2048 sims)",0.228,0.032,0.196,0.5664279276084476,8.956011907858331,3.58242350588816e-18,5,2.6832862956792078e-05,7.180884393383653,True,True
"RS[11,11]",Bad,Rollout only (approach),"POMCP (H=15, 2048 sims)",0.228,0.144,0.08400000000000002,0.2025514254078385,3.202619238012348,0.001406881508713695,5,0.003957346170887133,2.5326952944532137,True,True
"RS[11,11]",Bad,Rollout only (approach),"POMCP (H=25, 2048 sims)",0.228,0.168,0.06,0.13977528280062312,2.21004127122064,0.02733250979627992,5,0.013414232229806557,2.275929725432643,False,False
"RS[11,11]",Bad,Rollout only (approach),"POMCP (H=40, 2048 sims)",0.228,0.138,0.09,0.21586168519204008,3.413072923845439,0.0006691887126053332,5,0.0017880196373743938,3.1429363309631007,True,True
"RS[11,11]",Bad,"POMCP (H=10, 2048 sims)","POMCP (H=15, 2048 sims)",0.032,0.144,-0.11199999999999999,-0.38808827865680096,-6.136214468848013,1.39832114899393e-09,5,0.00040595411626787736,-4.310882009949205,True,True
"RS[11,11]",Bad,"POMCP (H=10, 2048 sims)","POMCP (H=25, 2048 sims)",0.032,0.168,-0.136,-0.43993106168702656,-6.955920841935207,8.190465808336425e-12,5,1.4951970870482853e-06,-8.27669642452251,True,True
"RS[11,11]",Bad,"POMCP (H=10, 2048 sims)","POMCP (H=40, 2048 sims)",0.032,0.138,-0.10600000000000001,-0.36328590597946786,-5.744054523664508,1.3704059390227823e-08,5,3.6820536637261026e-05,-5.333438817522254,True,True
"RS[11,11]",Bad,"POMCP (H=15, 2048 sims)","POMCP (H=25, 2048 sims)",0.144,0.168,-0.02400000000000002,-0.062423923329958705,-0.9870088910319605,0.3238791570926416,5,0.18299328634796097,-0.9600000000000009,False,False
"RS[11,11]",Bad,"POMCP (H=15, 2048 sims)","POMCP (H=40, 2048 sims)",0.144,0.138,0.005999999999999978,0.01618758103870872,0.25594812945436923,0.7980436440731127,5,0.7391835556956552,0.21908902300206565,False,False
"RS[11,11]",Bad,"POMCP (H=25, 2048 sims)","POMCP (H=40, 2048 sims)",0.168,0.138,0.03,0.07754622304117899,1.2261134437677739,0.22044661723793357,5,0.03757293854997506,1.6151457061744965,False,False
