instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[5,3]",Reward,Greedy,Flat-MC (1000),3.708,-9.9235,13.6315,0.8694810222601042,43.47405111300521,0.0,10,2.3293187536001633e-18,18.345976715395196,True,True
"RS[5,3]",Reward,Greedy,Planning (d=3),3.708,14.2799,-10.5719,-0.7865359064432074,-39.326795322160365,5.424379876015414e-305,10,2.0779621354032204e-14,-16.173460421734777,True,True
"RS[5,3]",Reward,Greedy,Plan+IG w=5 (d=3),3.708,16.4138,-12.705799999999998,-0.9344445799061082,-46.72222899530541,0.0,10,2.2787618186807146e-15,-19.485264534976867,True,True
"RS[5,3]",Reward,Greedy,Plan+IG w=10 (d=3),3.708,14.601,-10.893,-0.8106900808136319,-40.5345040406816,0.0,10,4.217734455008657e-14,-16.96973736028454,True,True
"RS[5,3]",Reward,Greedy,EFE w=1 (d=3),3.708,16.4727,-12.7647,-0.9305870399901318,-46.52935199950659,0.0,10,2.7085854031351432e-15,-19.64545389958337,True,True
"RS[5,3]",Reward,Greedy,POMCP (2048 sims),3.708,12.7442,-9.0362,-0.6920679506402978,-34.60339753201489,5.399140470603351e-240,10,7.822134258077765e-13,-14.240651054253885,True,True
"RS[5,3]",Reward,Greedy,Rollout only (approach),3.708,16.6696,-12.961599999999999,-0.9311767292572971,-46.55883646286485,0.0,10,9.87172880741359e-16,-19.69829775294252,True,True
"RS[5,3]",Reward,Flat-MC (1000),Planning (d=3),-9.9235,14.2799,-24.203400000000002,-2.1912827397002923,-109.5641369850146,0.0,10,7.93137294591903e-23,-45.25768909767397,True,True
"RS[5,3]",Reward,Flat-MC (1000),Plan+IG w=5 (d=3),-9.9235,16.4138,-26.3373,-2.3442769746209406,-117.21384873104702,0.0,10,2.933052358684554e-23,-49.42700899788769,True,True
"RS[5,3]",Reward,Flat-MC (1000),Plan+IG w=10 (d=3),-9.9235,14.601,-24.524500000000003,-2.221428256782714,-111.07141283913572,0.0,10,5.893096592451815e-22,-47.12951884343985,True,True
