env,family,metric,label_a,label_b,mean_a,mean_b,diff,t_stat,p_seed_level,n_seeds,significant_hb_seed_level
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=1 uniform,0.9700000000000001,0.8933333333333334,0.07666666666666666,6.379052256590128,0.004892454092957483,3,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=1 uniform,2.93,-3.35,6.28,5.249703419382345,0.007585895918513867,3,False
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=1 uniform,0.8966666666666666,0.8933333333333334,0.0033333333333331883,0.14586499149788829,0.8955192863864447,3,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=1 uniform,-3.0999999999999996,-3.35,0.25000000000000044,0.1016769941092037,0.9269561345487376,3,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=2 uniform,0.9700000000000001,0.88,0.09000000000000008,4.9295030175464944,0.01144433477910847,3,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=2 uniform,2.93,-4.833333333333333,7.763333333333334,4.196348714756726,0.020750190894612868,3,False
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=2 uniform,0.8966666666666666,0.88,0.016666666666666607,0.6249999999999979,0.5696039810114254,3,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=2 uniform,-3.0999999999999996,-4.833333333333333,1.7333333333333334,0.611410655645924,0.5782813531909669,3,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=5 uniform,0.9700000000000001,0.8966666666666666,0.07333333333333347,3.0508510792387673,0.06052336433705572,3,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=5 uniform,2.93,-3.0999999999999996,6.029999999999999,2.378943490355651,0.1095418827753551,3,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=10 uniform,0.9700000000000001,0.89,0.08000000000000007,4.381780460041329,0.016405053059745756,3,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=10 uniform,2.93,-3.9166666666666665,6.846666666666667,3.5665151268424795,0.03429786333118227,3,False
Tiger,vs POMCP c=5 uniform,success,POMCP c=5 uniform,POMCP c=10 uniform,0.8966666666666666,0.89,0.006666666666666599,0.2499999999999975,0.8162760487183753,3,False
Tiger,vs POMCP c=5 uniform,reward,POMCP c=5 uniform,POMCP c=10 uniform,-3.0999999999999996,-3.9166666666666665,0.8166666666666669,0.2834729330982035,0.7923285550050452,3,False
Tiger,vs MCTS-EFE default,success,MCTS-EFE c=110 (default),POMCP c=20 uniform,0.9700000000000001,0.9266666666666667,0.043333333333333335,4.1109609582188895,0.03837965571000558,3,False
Tiger,vs MCTS-EFE default,reward,MCTS-EFE c=110 (default),POMCP c=20 uniform,2.93,-0.13999999999999999,3.0700000000000003,2.963130896031236,0.06713720941759194,3,False
