env,w_thresh,jump_w,rel_err,U_below,U_above,U_floor,U_ceil,jump_ok
TestbedPos-p058,7.548754860065942,9.960641754342346,0.3195079107728947,0.0,9.899333333333333,0.0,28.672000000000004,True
TestbedPos-p06,3.4424112343349473,4.542288855838448,0.31950791077289475,0.0,3.3586666666666667,0.0,13.32,True
