env,u_floor,u_max,b_efe,b_efe_se,budget1,w_lo1,w_hi1,bracketed1,budget2,w_lo2,w_hi2,bracketed2
Bandit,3.0620000000000003,12.2,5.0280000000000005,0.1701587494077222,4.4327,0.0610540229658533,0.1389495494373137,True,10.8293,19.306977288832496,43.93970560760795,True
Diagnosis,5.715999999999999,13.568,9.684,0.147159777113177,6.893799999999999,0.1389495494373137,0.3162277660168379,True,12.3902,19.306977288832496,43.93970560760795,True
Inspection-N16,22.42,46.044,33.456,0.19041008376658994,25.9636,0.3162277660168379,1.333521432163324,True,42.5004,5.623413251903491,23.71373705661655,True
Inspection-N8,12.653333333333332,30.886666666666667,18.241999999999997,0.19445822173413,15.388333333333332,0.3162277660168379,2.1544346900318843,True,28.151666666666667,14.677992676220706,100.0,True
"RS[5,3]",3.808,9.104,4.896000000000001,0.07807688518377247,4.602399999999999,0.3162277660168379,1.333521432163324,True,8.3096,23.71373705661655,100.0,True
"RS[7,4]",2.0,14.726666666666668,5.493333333333334,0.139204086785474,3.9090000000000003,0.3162277660168379,2.1544346900318843,True,12.817666666666668,14.677992676220706,100.0,True
Tiger,3.979999999999999,5.616,4.208,0.0700285656000464,4.225399999999999,0.0117876863479358,0.0610540229658533,False,5.3706,19.306977288832496,43.93970560760795,True
Tileworld-6x6,14.920000000000002,33.7,14.826,0.2172233873228203,17.737000000000002,5.623413251903491,23.71373705661655,True,30.883000000000003,23.71373705661655,100.0,True
