env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,Planning,-49.184,"[-49.448, -48.896]",-49.088,"[-49.376, -48.800]",-0.09599999999999653,-0.013427999151682067,-0.4747514628960799,0.63498487507187,False
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,InfoGain,-49.184,"[-49.448, -48.896]",-48.944,"[-49.232, -48.632]",-0.23999999999999488,-0.03227613935212753,-1.141133850320568,0.25386889950540564,False
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,InfoGain-Tuned,-49.184,"[-49.448, -48.896]",-31.204,"[-31.691, -30.725]",-17.979999999999997,-1.7882033096262766,-63.22253431884839,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,Planning+IG,-49.184,"[-49.448, -48.896]",-31.1832,"[-31.681, -30.689]",-18.000799999999998,-1.7652604380517751,-62.41138131533728,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,EpistemicOnly,-49.184,"[-49.448, -48.896]",-200.0,"[-200.000, -200.000]",150.816,30.685153720989874,1084.884013893178,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Myopic,EFE,-49.184,"[-49.448, -48.896]",-26.4344,"[-27.568, -25.342]",-22.749599999999997,-1.107765292549587,-39.16541751624563,7.412032704082749e-293,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,InfoGain,-49.088,"[-49.376, -48.800]",-48.944,"[-49.232, -48.632]",-0.14399999999999835,-0.018893506473032867,-0.6679863273736735,0.5041731643265233,False
TILEWORLD EXPERIMENT (8x8),Reward,Planning,InfoGain-Tuned,-49.088,"[-49.376, -48.800]",-31.204,"[-31.691, -30.725]",-17.884,-1.7545405538917875,-62.03237617618421,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,Planning+IG,-49.088,"[-49.376, -48.800]",-31.1832,"[-31.681, -30.689]",-17.9048,-1.7326878394889715,-61.259766049106,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,EpistemicOnly,-49.088,"[-49.376, -48.800]",-200.0,"[-200.000, -200.000]",150.912,29.067309305684805,1027.684576044828,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning,EFE,-49.088,"[-49.376, -48.800]",-26.4344,"[-27.568, -25.342]",-22.6536,-1.099449441903564,-38.871407797088764,4.912531994926453e-289,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain,InfoGain-Tuned,-48.944,"[-49.232, -48.632]",-31.204,"[-31.691, -30.725]",-17.740000000000002,-1.706425242439856,-60.331243025856025,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain,Planning+IG,-48.944,"[-49.232, -48.632]",-31.1832,"[-31.681, -30.689]",-17.760800000000003,-1.6860688930469334,-59.61153739105911,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain,EpistemicOnly,-48.944,"[-49.232, -48.632]",-200.0,"[-200.000, -200.000]",151.05599999999998,27.071625945435606,957.12651418816,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain,EFE,-48.944,"[-49.232, -48.632]",-26.4344,"[-27.568, -25.342]",-22.509600000000002,-1.0871220053735813,-38.43556709883889,2.1265960024842413e-283,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain-Tuned,Planning+IG,-31.204,"[-31.691, -30.725]",-31.1832,"[-31.681, -30.689]",-0.020800000000001262,-0.0016612426664044568,-0.05873379773055065,0.9531664871493861,False
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain-Tuned,EpistemicOnly,-31.204,"[-31.691, -30.725]",-200.0,"[-200.000, -200.000]",168.796,19.243342223589995,680.3548889496951,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,InfoGain-Tuned,EFE,-31.204,"[-31.691, -30.725]",-26.4344,"[-27.568, -25.342]",-4.7696000000000005,-0.21895208775773398,-7.741125300422287,1.1846106404674378e-14,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning+IG,EpistemicOnly,-31.1832,"[-31.681, -30.689]",-200.0,"[-200.000, -200.000]",168.8168,18.894715292766715,668.0290656052255,0.0,True
TILEWORLD EXPERIMENT (8x8),Reward,Planning+IG,EFE,-31.1832,"[-31.681, -30.689]",-26.4344,"[-27.568, -25.342]",-4.748799999999999,-0.21733753750309284,-7.6840423287411275,1.8433366302394044e-14,True
TILEWORLD EXPERIMENT (8x8),Reward,EpistemicOnly,EFE,-200.0,"[-200.000, -200.000]",-26.4344,"[-27.568, -25.342]",-173.5656,-8.70453893631132,-307.7519254484035,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Myopic,Planning,0.0136,"[0.009, 0.018]",0.0152,"[0.010, 0.020]",-0.0016000000000000007,-0.013427999151682558,-0.4747514628960973,0.6349848750718576,False
TILEWORLD EXPERIMENT (8x8),Success,Myopic,InfoGain,0.0136,"[0.009, 0.018]",0.0176,"[0.013, 0.023]",-0.004000000000000002,-0.03227613935212823,-1.1411338503205926,0.2538688995053953,False
TILEWORLD EXPERIMENT (8x8),Success,Myopic,InfoGain-Tuned,0.0136,"[0.009, 0.018]",0.9752,"[0.969, 0.981]",-0.9616,-7.01178601316869,-247.9040719070284,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Myopic,Planning+IG,0.0136,"[0.009, 0.018]",0.974,"[0.968, 0.980]",-0.9604,-6.8993129665716,-243.92754920955272,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Myopic,EpistemicOnly,0.0136,"[0.009, 0.018]",0.0,"[0.000, 0.000]",0.0136,0.16602406532680705,5.869837121637182,4.643593757476852e-09,True
TILEWORLD EXPERIMENT (8x8),Success,Myopic,EFE,0.0136,"[0.009, 0.018]",0.686,"[0.668, 0.704]",-0.6724000000000001,-1.9875119416376161,-70.26915858106001,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Planning,InfoGain,0.0152,"[0.010, 0.020]",0.0176,"[0.013, 0.023]",-0.002400000000000001,-0.01889350647303309,-0.6679863273736815,0.5041731643265184,False
TILEWORLD EXPERIMENT (8x8),Success,Planning,InfoGain-Tuned,0.0152,"[0.010, 0.020]",0.9752,"[0.969, 0.981]",-0.96,-6.859804361991323,-242.53070909885616,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Planning,Planning+IG,0.0152,"[0.010, 0.020]",0.974,"[0.968, 0.980]",-0.9588,-6.753696815975983,-238.7792408327306,0.0,True
TILEWORLD EXPERIMENT (8x8),Success,Planning,EpistemicOnly,0.0152,"[0.010, 0.020]",0.0,"[0.000, 0.000]",0.0152,0.1756612203587822,6.210562005359966,5.706909839854812e-10,True
TILEWORLD EXPERIMENT (8x8),Success,Planning,EFE,0.0152,"[0.010, 0.020]",0.686,"[0.668, 0.704]",-0.6708000000000001,-1.9760841023059197,-69.86512344677236,0.0,True
