N,metric,agent_a,agent_b,mean_a,mean_b,n_seeds,p_seed_level,significant_hb_seed_level
8,Reward,Myopic,EFE,-22.328,-8.3792,5,9.512374348581658e-05,True
8,Reward,Planning,InfoGain,-8.4368,-22.328,5,6.583948995044563e-05,True
8,Reward,Planning,EFE,-8.4368,-8.3792,5,0.9364529883062991,False
8,Reward,InfoGain,EFE,-22.328,-8.3792,5,9.512374348581658e-05,True
8,Success,Myopic,Planning,0.5112,0.8392,5,1.3242812795600611e-05,True
8,Success,Myopic,InfoGain,0.5112,0.5112,5,1.0,False
8,Success,Myopic,EFE,0.5112,0.8408,5,2.2466875056368235e-05,True
8,Success,Planning,InfoGain,0.8392,0.5112,5,1.3242812795600611e-05,True
8,Success,Planning,EFE,0.8392,0.8408,5,0.8831516042720875,False
8,Success,InfoGain,EFE,0.5112,0.8408,5,2.2466875056368235e-05,True
8,Observations,Myopic,Planning,3.0,8.7888,5,3.810018719953445e-08,True
8,Observations,Myopic,InfoGain,3.0,3.0,5,,False
8,Observations,Myopic,EFE,3.0,8.8272,5,7.536364486885857e-08,True
8,Observations,Planning,InfoGain,8.7888,3.0,5,3.810018719953445e-08,True
8,Observations,Planning,EFE,8.7888,8.8272,5,0.6464360379908134,False
8,Observations,InfoGain,EFE,3.0,8.8272,5,7.536364486885857e-08,True
16,Reward,Myopic,Planning,-29.496,-15.2312,5,1.2082885252099717e-05,True
16,Reward,Myopic,InfoGain,-29.496,-29.496,5,1.0,False
16,Reward,Myopic,EFE,-29.496,-15.3656,5,2.1710660380821377e-05,True
16,Reward,Planning,InfoGain,-15.2312,-29.496,5,1.2082885252099717e-05,True
16,Reward,Planning,EFE,-15.2312,-15.3656,5,0.8628687268140781,False
16,Reward,InfoGain,EFE,-29.496,-15.3656,5,2.1710660380821377e-05,True
16,Success,Myopic,Planning,0.4084,0.7736,5,7.818745244608204e-07,True
16,Success,Myopic,InfoGain,0.4084,0.4084,5,1.0,False
16,Success,Myopic,EFE,0.4084,0.7712,5,2.2212809579700523e-06,True
16,Success,Planning,InfoGain,0.7736,0.4084,5,7.818745244608204e-07,True
16,Success,Planning,EFE,0.7736,0.7712,5,0.8528318008551157,False
16,Success,InfoGain,EFE,0.4084,0.7712,5,2.2212809579700523e-06,True
16,Observations,Myopic,Planning,4.0,11.6472,5,1.0289234068560086e-07,True
16,Observations,Myopic,InfoGain,4.0,4.0,5,,False
16,Observations,Myopic,EFE,4.0,11.6376,5,1.8702726785932981e-07,True
16,Observations,Planning,InfoGain,11.6472,4.0,5,1.0289234068560086e-07,True
16,Observations,Planning,EFE,11.6472,11.6376,5,0.9446989008563771,False
16,Observations,InfoGain,EFE,4.0,11.6376,5,1.8702726785932981e-07,True
