env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Observations,InfoGain,InfoGain-Tuned,1.0,"[1.000, 1.000]",4.198,"[4.144, 4.253]",-3.1980000000000004,-2.3195980942875964,-115.97990471437983,0.0,5,2.638864327177835e-08,-77.65430469546301,True,True
Tiger,Observations,InfoGain,Planning+IG,1.0,"[1.000, 1.000]",5.6568,"[5.592, 5.723]",-4.6568,-2.779761435423009,-138.98807177115043,0.0,5,2.7163052247537292e-08,-77.09468874168128,True,True
Tiger,Observations,InfoGain,EpistemicOnly,1.0,"[1.000, 1.000]",0.0,"[0.000, 0.000]",1.0,0.0,inf,0.0,5,0.0,0.0,True,True
Tiger,Observations,InfoGain,EFE,1.0,"[1.000, 1.000]",4.198,"[4.144, 4.253]",-3.1980000000000004,-2.3195980942875964,-115.97990471437983,0.0,5,2.638864327177835e-08,-77.65430469546301,True,True
Tiger,Observations,InfoGain,Thompson,1.0,"[1.000, 1.000]",2.6448,"[2.609, 2.682]",-1.6448,-1.780805181252349,-89.04025906261745,0.0,5,1.6688448270841572e-07,-48.960187727161916,True,True
Tiger,Observations,InfoGain,PyMDP-AIF,1.0,"[1.000, 1.000]",2.6448,"[2.609, 2.682]",-1.6448,-1.780805181252349,-89.04025906261745,0.0,5,1.6688448270841572e-07,-48.960187727161916,True,True
Tiger,Observations,InfoGain-Tuned,Planning+IG,4.198,"[4.144, 4.253]",5.6568,"[5.592, 5.723]",-1.4587999999999992,-0.6723761373543768,-33.61880686771884,7.604412083485012e-235,5,7.373549030900237e-09,-19.95437598203063,True,True
Tiger,Observations,InfoGain-Tuned,EpistemicOnly,4.198,"[4.144, 4.253]",0.0,"[0.000, 0.000]",4.198,3.044925828586407,152.24629142932037,0.0,5,8.88877159055858e-09,101.93645125439454,True,True
Tiger,Observations,InfoGain-Tuned,EFE,4.198,"[4.144, 4.253]",4.198,"[4.144, 4.253]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Observations,InfoGain-Tuned,Thompson,4.198,"[4.144, 4.253]",2.6448,"[2.609, 2.682]",1.5532000000000004,0.9359573059765197,46.79786529882598,0.0,5,1.1079391342458965e-10,29.22462212850884,True,True
Tiger,Observations,InfoGain-Tuned,PyMDP-AIF,4.198,"[4.144, 4.253]",2.6448,"[2.609, 2.682]",1.5532000000000004,0.9359573059765197,46.79786529882598,0.0,5,1.1079391342458965e-10,29.22462212850884,True,True
