instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[7,8]",Reward,Greedy,Flat-MC (1000),-5.6,-49.9,44.3,2.1338509544595334,33.73914601708179,5.726782635666748e-144,5,1.3589086415522608e-08,23.815827544271837,True,True
"RS[7,8]",Reward,Greedy,Planning (d=3),-5.6,12.306,-17.906,-0.9050645677636264,-14.310327318244331,1.4283905350272826e-39,5,1.7294222863655625e-05,-10.412539718096433,True,True
"RS[7,8]",Reward,Greedy,Plan+IG w=5 (d=3),-5.6,23.764,-29.363999999999997,-1.3962976976635306,-22.077405081329623,1.8603381311525675e-81,5,1.525135609743474e-07,-15.69752073027777,True,True
"RS[7,8]",Reward,Greedy,Plan+IG w=10 (d=3),-5.6,20.546,-26.146,-1.2424082717660363,-19.644199613070707,3.8874606630784375e-68,5,4.593753337018282e-06,-15.4716593635806,True,True
"RS[7,8]",Reward,Greedy,EFE w=1 (d=3),-5.6,21.849,-27.449,-1.2982489893242022,-20.527118881380503,3.6179055936541265e-73,5,5.8338974997637955e-08,-13.365692083540544,True,True
"RS[7,8]",Reward,Flat-MC (1000),Planning (d=3),-49.9,12.306,-62.206,-7.573290043418209,-119.74422959138508,0.0,5,1.2984429050907224e-11,-58.8521972982818,True,True
"RS[7,8]",Reward,Flat-MC (1000),Plan+IG w=5 (d=3),-49.9,23.764,-73.664,-6.77246592880713,-107.0820885545914,0.0,5,2.531271037191952e-13,-57.188198885906814,True,True
"RS[7,8]",Reward,Flat-MC (1000),Plan+IG w=10 (d=3),-49.9,20.546,-70.446,-6.459734228445119,-102.13736620618512,0.0,5,5.024322468935165e-11,-69.89396458332419,True,True
"RS[7,8]",Reward,Flat-MC (1000),EFE w=1 (d=3),-49.9,21.849,-71.749,-6.467220558561158,-102.25573547859813,0.0,5,1.0576855777247119e-11,-46.5309835398184,True,True
"RS[7,8]",Reward,Planning (d=3),Plan+IG w=5 (d=3),12.306,23.764,-11.458,-1.2913976445801878,-20.418789609249966,3.80932950065283e-73,5,1.2083150593661787e-06,-10.654951821683907,True,True
"RS[7,8]",Reward,Planning (d=3),Plan+IG w=10 (d=3),12.306,20.546,-8.24,-0.9250762635203428,-14.626740010412083,1.7286376108529216e-42,5,1.327193091494263e-07,-11.50362374733214,True,True
"RS[7,8]",Reward,Planning (d=3),EFE w=1 (d=3),12.306,21.849,-9.543,-1.04436432320156,-16.512849841685814,6.96850562619824e-52,5,5.825310190878449e-05,-6.969468080585228,True,True
"RS[7,8]",Reward,Plan+IG w=5 (d=3),Plan+IG w=10 (d=3),23.764,20.546,3.218,0.2820394146037404,4.459434700441878,9.149872084935468e-06,5,0.0027842241076739,3.1329141177044817,True,True
"RS[7,8]",Reward,Plan+IG w=5 (d=3),EFE w=1 (d=3),23.764,21.849,1.9149999999999991,0.1652230638462939,2.6124060187285454,0.0091260140864854,5,0.090510058799806,1.2318124908548305,False,False
"RS[7,8]",Reward,Plan+IG w=10 (d=3),EFE w=1 (d=3),20.546,21.849,-1.3030000000000008,-0.1121625795621982,-1.7734460982819908,0.0764600171830031,5,0.1821530398121879,-0.978426500808322,False,False
"RS[7,8]",Bad,Greedy,Flat-MC (1000),3.98,0.048,3.932,3.99525589927057,63.17054238459627,1.4566036636258588e-247,5,5.3438290650098394e-08,47.1312425360132,True,True
"RS[7,8]",Bad,Greedy,Planning (d=3),3.98,0.026,3.954,4.0431756995333545,63.928220953849944,2.4569420904820883e-246,5,1.630628363358678e-07,48.52355656965664,True,True
"RS[7,8]",Bad,Greedy,Plan+IG w=5 (d=3),3.98,0.012,3.968,4.071881008544911,64.38209174092731,1.1004342958681445e-245,5,1.495113458359118e-07,48.62219367447042,True,True
"RS[7,8]",Bad,Greedy,Plan+IG w=10 (d=3),3.98,0.01,3.97,4.076037026973639,64.44780416208938,1.3860582933655097e-245,5,1.1797610961667853e-07,48.41103441146551,True,True
"RS[7,8]",Bad,Greedy,EFE w=1 (d=3),3.98,0.062,3.918,3.96826357837691,62.74375631780568,5.45087546227397e-248,5,4.1872264111589964e-08,46.71242147255288,True,True
"RS[7,8]",Bad,Flat-MC (1000),Planning (d=3),0.048,0.026,0.022,0.1134787176295128,1.794256068321821,0.0731068259736317,5,0.1306158750415427,1.175949464414667,False,False
"RS[7,8]",Bad,Flat-MC (1000),Plan+IG w=5 (d=3),0.048,0.012,0.036,0.2050036930566942,3.2413929940259982,0.0012439084741453,5,0.032943765650527,1.8715508816761308,True,False
"RS[7,8]",Bad,Flat-MC (1000),Plan+IG w=10 (d=3),0.048,0.01,0.038,0.2199152311838314,3.477165113516974,0.0005385155926884,5,0.0270504179737255,1.82196054564446,True,False
"RS[7,8]",Bad,Flat-MC (1000),EFE w=1 (d=3),0.048,0.062,-0.0139999999999999,-0.0591406954427701,-0.9350965000274696,0.3499675756196819,5,0.4410554177254073,-0.5129203138131181,False,False
"RS[7,8]",Bad,Planning (d=3),Plan+IG w=5 (d=3),0.026,0.012,0.0139999999999999,0.1025778545559087,1.621898289450757,0.1051824151134776,5,0.0169208723287326,1.9798989873223336,False,False
"RS[7,8]",Bad,Planning (d=3),Plan+IG w=10 (d=3),0.026,0.01,0.016,0.1204428198748851,1.9043681930901672,0.0572046811102843,5,0.0631091296917873,1.492007693184502,False,False
"RS[7,8]",Bad,Planning (d=3),EFE w=1 (d=3),0.026,0.062,-0.036,-0.1719603744191387,-2.7189322522991626,0.0066831582914778,5,0.0469831064989744,-1.746256500261597,False,False
"RS[7,8]",Bad,Plan+IG w=5 (d=3),Plan+IG w=10 (d=3),0.012,0.01,0.002,0.0191567018069938,0.3028940508338193,0.7620342374361053,5,0.7939426232461451,0.172132593164774,False,False
"RS[7,8]",Bad,Plan+IG w=5 (d=3),EFE w=1 (d=3),0.012,0.062,-0.05,-0.2596565023571398,-4.1055297836072056,4.5223839459946296e-05,5,0.0150500657928107,-2.370227315699886,True,False
"RS[7,8]",Bad,Plan+IG w=10 (d=3),EFE w=1 (d=3),0.01,0.062,-0.052,-0.2736834508821769,-4.327315313412491,1.7455631114175407e-05,5,0.0113434486967419,-2.3025987024042474,True,False
