instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,mean_good,mean_bad,se_bad_seed_level,mean_checks,mean_steps,time_s,n_seeds,episodes_per_seed,seed_list,tree_depth
"RS[7,4]",Greedy,-1.376,20.372987606141617,0.2881175537866445,0.3599111001344637,1.9812,2.0188,0.01799555500672319,0.0,22.0,0.2834458351135254,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
"RS[7,4]",POMCP (1000),-25.5087,14.71641173350352,0.20812149062987229,0.20343828165919134,1.5778,0.0434,0.0022910453703252776,41.0466,85.9694,2958.8283772468567,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
"RS[7,4]",Planning (d=4),13.9698,7.488717377495293,0.1059064568003292,0.11274797854802836,0.9466,0.0498,0.0021176506899024785,2.0,9.9964,1165.486473083496,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
"RS[7,4]",Plan+IG w=5 (d=4),14.5576,8.500063660938075,0.12020905310333327,0.1448459871725827,1.69,0.0066,0.001521694961401777,8.1524,24.5528,2387.235165834427,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
"RS[7,4]",Plan+IG w=10 (d=4),14.2715,8.467605195685495,0.11975002108559313,0.14657317095718594,1.7762,0.0078,0.0012092238098144702,8.8038,26.825,2763.5476520061493,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
"RS[7,4]",EFE w=1 (d=4),15.9604,8.147909660765759,0.115228843472457,0.15380429122752054,1.442,0.0054,0.0011566234381931648,5.3638,16.8112,1492.155236005783,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,4
