env,usage_kind,budget,w_star,w_lo,w_hi,usage_at_star,usage_se_at_star,bracketed,achievable
Diagnosis-hetero,count,8.640799999999999,1.0,10.0,31.622776601683793,7.984,0.15727682601069995,True,True
Diagnosis-hetero,count,13.983199999999997,100.0,31.622776601683793,100.0,15.127999999999997,0.1709502851708649,True,True
Diagnosis-hetero,cost,11.149899999999999,10.0,3.1622776601683795,10.0,10.172,0.22143622106602157,True,True
Diagnosis-hetero,cost,19.260099999999998,100.0,31.622776601683793,100.0,20.997999999999998,0.41117392913461853,True,True
