mode,agent,success,reward,se_reward_seed_level,se_success_seed_level,n_seeds,seed_list,episodes_per_seed,git_sha,generated_utc,se_reward,obs,time_s
bitwise,Planning,0.736,-21.405,0.6430940833190738,0.010173494974687912,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:33:39Z,0.8515168671259542,15.565,31.190484046936035
bitwise,InfoGain-Tuned,0.974,-23.624,0.20371180623616314,0.007314369419163903,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:34:21Z,0.4014730675898447,32.064,42.51149892807007
bitwise,EFE,0.719,-21.617,0.8714493674333582,0.014781745499094494,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:38:39Z,0.8641332715501701,14.757,257.6193859577179
random,Planning,0.551,-30.319,0.6629091189597559,0.011874342087037908,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:39:06Z,0.9432153725422417,13.379,27.150224924087524
random,InfoGain-Tuned,0.751,-31.577,0.5798439445230068,0.008860022573334682,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:39:42Z,0.8306082536310363,26.637,35.577048778533936
random,EFE,0.561,-29.308,0.4344410201626915,0.008124038404635946,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:43:31Z,0.9427444701508464,12.968,228.810631275177
overlapping,Planning,0.084,-47.655,0.6811607739733696,0.011224972160321823,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:43:37Z,0.5280302784878913,2.695,6.915419101715088
overlapping,InfoGain-Tuned,0.159,-54.979,0.8416210548697084,0.012288205727444509,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:43:57Z,0.7188286019629436,14.519,20.022541046142578
overlapping,EFE,0.085,-47.528,0.7258712006961014,0.012349089035228468,5,42|123|456|789|1024,200,4d1b609,2026-08-30T19:44:57Z,0.5255161424732832,2.628,59.25642704963684
