env,w,usage,usage_se,reward,reward_se,per_seed_usage,per_seed_reward,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,0.0,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.001,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.0022758459260747888,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.005179474679231213,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.011787686347935873,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.02682695795279726,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.0610540229658533,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.13894954943731375,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.31622776601683794,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
Tiger,0.7196856730011522,4.368,0.11217842929904127,5.412,0.30871345937616657,4.6800|4.5200|4.4000|4.0600|4.1800,4.2200|5.4800|5.6000|5.9400|5.8200,42|123|456|789|1024,100,08140f0,2026-09-18T16:49:32Z
