env,metric,variant_a,variant_b,mean_a,mean_b,diff,t_stat,p_seed_level,n_seeds,significant_hb_seed_level
Tiger,success,full,mean-backup,0.977,0.9790000000000001,-0.002000000000000113,-0.365148371670131,0.7261964579289045,5,False
Tiger,reward,full,mean-backup,3.7350000000000003,4.007,-0.27199999999999935,-0.4340008975387639,0.6780414277338594,5,False
Tiger,observations,full,mean-backup,3.7350000000000003,3.683,0.05200000000000049,0.6550604411381323,0.537205313043173,5,False
Tiger,success,full,no-tree-ig,0.977,0.974,0.0030000000000000027,0.36514837167011077,0.7256816924063609,5,False
Tiger,reward,full,no-tree-ig,3.7350000000000003,3.658,0.0770000000000004,0.08354899761648683,0.9356837751950338,5,False
Tiger,observations,full,no-tree-ig,3.7350000000000003,3.482,0.2530000000000001,4.81664535647297,0.0013564590999689118,5,True
Tiger,success,full,mean-no-ig,0.977,0.977,0.0,0.0,1.0,5,False
Tiger,reward,full,mean-no-ig,3.7350000000000003,3.9539999999999997,-0.21899999999999942,-0.2732390085401757,0.7916752653109623,5,False
Tiger,observations,full,mean-no-ig,3.7350000000000003,3.5159999999999996,0.21900000000000075,2.213815934818363,0.07611622024007046,5,False
Diagnosis-N4,success,full,mean-backup,0.942,0.9579999999999999,-0.015999999999999903,-2.309401076758492,0.05007509229743594,5,False
Diagnosis-N4,reward,full,mean-backup,-3.2560000000000002,-2.5540000000000003,-0.702,-1.4513552592778811,0.18631006136411654,5,False
Diagnosis-N4,observations,full,mean-backup,9.776,10.034,-0.2580000000000009,-0.9833871105546521,0.35689152815783975,5,False
Diagnosis-N4,success,full,no-tree-ig,0.942,0.9629999999999999,-0.020999999999999908,-2.645751311064581,0.03204460039651803,5,False
Diagnosis-N4,reward,full,no-tree-ig,-3.2560000000000002,-2.489,-0.7670000000000003,-1.2540206911934262,0.25382460559528797,5,False
Diagnosis-N4,observations,full,no-tree-ig,9.776,10.269000000000002,-0.4930000000000021,-1.8584002625141172,0.10409423809248135,5,False
Diagnosis-N4,success,full,mean-no-ig,0.942,0.9570000000000001,-0.015000000000000124,-1.698415551216911,0.13542616494518794,5,False
Diagnosis-N4,reward,full,mean-no-ig,-3.2560000000000002,-2.966,-0.29000000000000004,-0.5802094934475297,0.5787732022673169,5,False
Diagnosis-N4,observations,full,mean-no-ig,9.776,10.386,-0.6099999999999994,-3.300940227665976,0.013257777170328857,5,False
Tileworld-6x6,success,full,mean-backup,0.9540000000000001,0.962,-0.007999999999999896,-1.0787197799411745,0.31360263176585806,5,False
Tileworld-6x6,reward,full,mean-backup,-25.019,-24.354000000000003,-0.6649999999999956,-1.4340191505428153,0.196026091205511,5,False
Tileworld-6x6,observations,full,mean-backup,32.259,32.074,0.18500000000000227,0.5127487366803448,0.6259116569072873,5,False
Tileworld-6x6,success,full,no-tree-ig,0.9540000000000001,0.9469999999999998,0.007000000000000228,0.619930419878088,0.5563076846962429,5,False
Tileworld-6x6,reward,full,no-tree-ig,-25.019,-26.337,1.3180000000000014,2.130167952457777,0.08147010183349103,5,False
Tileworld-6x6,observations,full,no-tree-ig,32.259,33.157,-0.8979999999999961,-2.3849137618942287,0.04942862032535574,5,False
Tileworld-6x6,success,full,mean-no-ig,0.9540000000000001,0.9570000000000001,-0.0030000000000000027,-0.4601789933084234,0.6615808363808279,5,False
Tileworld-6x6,reward,full,mean-no-ig,-25.019,-25.291999999999998,0.2729999999999997,0.8299540221726084,0.4311230574674012,5,False
Tileworld-6x6,observations,full,mean-no-ig,32.259,32.712,-0.45300000000000296,-1.1807228961599254,0.2759114799903772,5,False
