instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=10, 2048 sims)",17.155,12.813,4.3420000000000005,0.5635006350983165,8.909727349310499,2.976234986172895e-18,5,0.00010299442570942226,4.487681509198983,True,True
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=15, 2048 sims)",17.155,14.002,3.1530000000000005,0.3678329775990579,5.815950038673585,8.148948699539225e-09,5,0.0006280211727879921,3.495619653468445,True,True
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=25, 2048 sims)",17.155,13.25,3.905000000000001,0.45508075930433595,7.195458593602825,1.2337198308004726e-12,5,0.00030160321800686235,3.8434685651782576,True,True
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=40, 2048 sims)",17.155,12.973,4.182,0.47649439855345943,7.5340379587048645,1.1051162245247442e-13,5,0.00014750984061744014,5.3272102367277165,True,True
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=10, 16384 sims)",17.155,12.516,4.639000000000001,0.6268452706258866,9.911293978412216,6.573197367602726e-22,5,6.242538290690266e-05,5.729415022534772,True,True
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=15, 16384 sims)",17.155,15.601,1.5540000000000003,0.18109704331915208,2.8633956720535,0.004280338606654895,5,0.028000345107707988,1.7035226896865099,False,False
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=25, 16384 sims)",17.155,15.239,1.9160000000000004,0.22016751050140115,3.4811539997673395,0.0005210552137054625,5,0.011925864871547419,2.0546444322422146,True,False
"RS[5,3]",Reward,Rollout only (approach),"POMCP (H=40, 16384 sims)",17.155,15.615,1.540000000000001,0.18142526415190185,2.868585299088532,0.004211904734406956,5,0.027936055832563284,1.7080365131997493,False,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=15, 2048 sims)",12.813,14.002,-1.189,-0.16784541672971573,-2.6538690584301605,0.008094021212239346,5,0.06708832569961352,-1.3443119125250673,False,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=25, 2048 sims)",12.813,13.25,-0.4369999999999994,-0.061593793612882926,-0.9738833877352076,0.33036935813829094,5,0.5095175357810433,-0.43678629998138263,False,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=40, 2048 sims)",12.813,12.973,-0.16000000000000014,-0.021827043567063643,-0.3451158612982365,0.7300878406569407,5,0.7517843925305484,-0.20919590821381856,False,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=10, 16384 sims)",12.813,12.516,0.2970000000000006,0.05293992778745871,0.8370537548660396,0.40276703357286436,5,0.5719239871144519,0.37589290608310083,False,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=15, 16384 sims)",12.813,15.601,-2.7880000000000003,-0.39295056209113766,-6.213093920257061,7.848466388011081e-10,5,0.0012131745702869496,-3.115399817826059,True,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=25, 16384 sims)",12.813,15.239,-2.426,-0.33501662833347,-5.2970779978193265,1.476632039748179e-07,5,0.0030825044040202984,-2.649665575714746,True,False
"RS[5,3]",Reward,"POMCP (H=10, 2048 sims)","POMCP (H=40, 16384 sims)",12.813,15.615,-2.8019999999999996,-0.4012802470249534,-6.344797803169294,3.4658135145607933e-10,5,0.0011175258455565849,-3.169345639457803,True,False
"RS[5,3]",Reward,"POMCP (H=15, 2048 sims)","POMCP (H=25, 2048 sims)",14.002,13.25,0.7520000000000007,0.0936784383997086,1.481186164954291,0.13887261174991425,5,0.24236869752845625,0.8023513172222269,False,False
