agent,w,mean_reward,se_reward,se_reward_seed_level,mean_usage,se_usage,mean_task_tests,mean_distractor_tests,mean_distractor_fraction,se_distractor_fraction,se_distractor_fraction_seed_level,n_seeds,success_rate
Planning+IG,0.0,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.001,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.0031622776601683794,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.01,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.03162277660168379,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.1,-3.224,0.8776762774508604,1.163140576198767,5.904,0.10329360096346724,5.904,0.0,0.0,0.0,0.0,5,0.878
Planning+IG,0.31622776601683794,-1.452,0.4602862066149712,0.7493623956404538,9.772,0.1696349963893064,9.772,0.0,0.0,0.0,0.0,5,0.972
Planning+IG,1.0,-1.452,0.4602862066149712,0.7493623956404538,9.772,0.1696349963893064,9.772,0.0,0.0,0.0,0.0,5,0.972
Planning+IG,3.1622776601683795,-1.452,0.4602862066149712,0.7493623956404538,9.772,0.1696349963893064,9.772,0.0,0.0,0.0,0.0,5,0.972
Planning+IG,10.0,-4.308,0.4633295501044586,0.7316173863434355,12.628,0.17770546418160585,9.772,2.856,0.23274893994893994,0.004757708303178429,0.002614093318097995,5,0.972
Planning+IG,31.622776601683793,-10.128,0.34705508496490867,0.13676256797822997,19.648,0.24444261494264866,13.196,6.452,0.3300568414643492,0.005157806102293461,0.004366728909888656,5,0.992
Planning+IG,100.0,-10.476,0.41697343800295,0.11303096920755826,19.516,0.24019052437596283,13.06,6.456,0.3315086439360433,0.005151835026254671,0.005253870169297839,5,0.984
EFE (w=1),,-1.452,0.4602862066149712,0.7493623956404538,9.772,0.1696349963893064,9.772,0.0,0.0,0.0,0.0,5,0.972
IDS,,-11.492,0.3115571729233657,0.11306635220082054,21.252,0.2637896737933462,14.796,6.456,0.30543171103755357,0.004816601178291331,0.00549236844989507,5,0.996
