env,variant,backup,in_tree_info_gain,horizon,sim_budget,rollout_depth,success,reward,std_reward,obs,se_success_seed_level,se_reward_seed_level,se_reward_pooled,n_seeds,wall_clock_s,ms_per_ep,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,full,max,True,10,500,3,0.977,3.735,16.26212701340141,3.735,0.004636809247747856,0.5341652366075501,0.5142536096130002,5,13.883633852005005,13.883633852005005,42|123|456|789|1024,200,741d8a2,2026-09-06T03:40:50Z
Tiger,mean-backup,mean,True,10,500,3,0.979,4.007,15.625330428506146,3.683,0.002915475947422653,0.3278017693667927,0.494116333468142,5,12.594236850738525,12.594236850738525,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:03Z
Tiger,no-tree-ig,max,False,10,500,3,0.974,3.658,17.43780479303516,3.482,0.006782329983125273,0.7510269635638922,0.5514318053939218,5,10.154707193374634,10.154707193374634,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:13Z
Tiger,mean-no-ig,mean,False,10,500,3,0.977,3.954,16.38572195540984,3.516,0.005385164807134509,0.597547906029299,0.5181620248532307,5,9.395471096038818,9.395471096038818,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:22Z
Diagnosis-N4,full,max,True,5,200,3,0.942,-3.256,14.29001273617347,9.776,0.004636809247747833,0.3046243588421648,0.4518898803912298,5,99.65254783630371,99.65254783630371,42|123|456|789|1024,200,741d8a2,2026-09-06T03:43:02Z
Diagnosis-N4,mean-backup,mean,True,5,200,3,0.958,-2.554,12.552971122407635,10.034,0.005147815070493504,0.3757073329068784,0.3969598014912845,5,99.25754714012146,99.25754714012146,42|123|456|789|1024,200,741d8a2,2026-09-06T03:44:41Z
Diagnosis-N4,no-tree-ig,max,False,5,200,3,0.963,-2.489,11.91788064212761,10.269,0.006442049363362568,0.5303758101572883,0.3768764771115332,5,91.08790135383606,91.08790135383606,42|123|456|789|1024,200,741d8a2,2026-09-06T03:46:12Z
Diagnosis-N4,mean-no-ig,mean,False,5,200,3,0.957,-2.966,12.468794809443292,10.386,0.007516648189186443,0.39626190833841196,0.3942979127512597,5,89.34858322143555,89.34858322143555,42|123|456|789|1024,200,741d8a2,2026-09-06T03:47:42Z
Tileworld-6x6,full,max,True,2,200,2,0.954,-25.019,15.714090460475273,32.259,0.0057879184513951,0.24887446634799643,0.49692317213026,5,1347.919723033905,1347.919723033905,42|123|456|789|1024,200,741d8a2,2026-09-06T04:10:10Z
Tileworld-6x6,mean-backup,mean,True,2,200,2,0.962,-24.354,14.920210588326158,32.074,0.004636809247747856,0.3912908125678392,0.47181848628471523,5,1287.7151062488556,1287.7151062488556,42|123|456|789|1024,200,741d8a2,2026-09-06T04:31:37Z
Tileworld-6x6,no-tree-ig,max,False,2,200,2,0.947,-26.337,16.939758882581533,33.157,0.009695359714832643,0.5664706523730949,0.5356822108302645,5,1299.9360678195953,1299.9360678195953,42|123|456|789|1024,200,741d8a2,2026-09-06T04:53:17Z
Tileworld-6x6,mean-no-ig,mean,False,2,200,2,0.957,-25.292,16.513531905682687,32.712,0.0030000000000000027,0.21507905523318646,0.5222037303581812,5,1219.9049088954926,1219.9049088954926,42|123|456|789|1024,200,741d8a2,2026-09-06T05:13:37Z
