env,agent,label,exploration_constant,rollout_policy,horizon,sim_budget,vary_agent_seed,success,reward,std_reward,obs,se_success_seed_level,se_reward_seed_level,se_reward_pooled,n_seeds,wall_clock_s,ms_per_ep,seed_list,episodes_per_seed,git_sha,generated_utc
Tiger,POMCP,POMCP c=1 uniform,1.0,uniform,10,500,True,0.865,-6.489,37.384968623766426,1.639,0.0035355339059327403,0.3766078862689947,1.1822165110503238,5,8.711236953735352,8.711236953735352,42|123|456|789|1024,200,741d8a2,2026-09-06T03:40:47Z
Tiger,POMCP,POMCP c=2 uniform,2.0,uniform,10,500,True,0.892,-3.525,33.96641539815469,1.645,0.005147815070493504,0.5651283040159993,1.0741123660958383,5,8.627904891967773,8.627904891967773,42|123|456|789|1024,200,741d8a2,2026-09-06T03:40:56Z
Tiger,POMCP,POMCP c=5 uniform,5.0,uniform,10,500,True,0.89,-3.759,34.28257456784714,1.659,0.004183300132670381,0.4408724305283786,1.0841101968895965,5,8.65012502670288,8.65012502670288,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:04Z
Tiger,POMCP,POMCP c=10 uniform,10.0,uniform,10,500,True,0.893,-3.517,33.84520218583426,1.747,0.0058309518948453055,0.6354203333227542,1.0702792677614568,5,9.189045190811157,9.189045190811157,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:13Z
Tiger,POMCP,POMCP c=20 uniform,20.0,uniform,10,500,True,0.925,-0.303,28.852611510918727,2.053,0.004183300132670382,0.43247138633671467,0.9123996881849532,5,10.6394522190094,10.6394522190094,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:24Z
Tiger,POMCP,POMCP c=50 uniform,50.0,uniform,10,500,True,0.963,3.212,20.680209283273708,2.718,0.005612486080160917,0.6168905899752403,0.6539656382410318,5,15.533691883087158,15.533691883087158,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:40Z
Tiger,POMCP,POMCP c=110 uniform,110.0,uniform,10,500,True,0.916,-1.132,30.341993606221724,1.892,0.0036742346141747702,0.39717313605026205,0.9594980854592676,5,10.765541791915894,10.765541791915894,42|123|456|789|1024,200,741d8a2,2026-09-06T03:41:50Z
Tiger,POMCP,POMCP c=5 info-gain,5.0,info_gain,10,500,True,0.89,-3.759,34.28257456784714,1.659,0.004183300132670381,0.4408724305283786,1.0841101968895965,5,9.14045000076294,9.14045000076294,42|123|456|789|1024,200,741d8a2,2026-09-06T03:42:00Z
Tiger,POMCP,POMCP c=110 info-gain,110.0,info_gain,10,500,True,0.916,-1.132,30.341993606221724,1.892,0.0036742346141747702,0.39717313605026205,0.9594980854592676,5,12.062571048736572,12.062571048736572,42|123|456|789|1024,200,741d8a2,2026-09-06T03:42:12Z
Tiger,MCTS-EFE,MCTS-EFE c=110 (default),110.0,efe,10,500,False,0.977,3.735,16.26212701340141,3.735,0.004636809247747856,0.5341652366075501,0.5142536096130002,5,13.5811128616333,13.5811128616333,42|123|456|789|1024,200,741d8a2,2026-09-06T03:42:25Z
Tiger,MCTS-EFE,MCTS-EFE c=5,5.0,efe,10,500,False,0.982,4.326,14.47458890607951,3.694,0.002549509756796395,0.2841452093560614,0.45772669137816296,5,643.4116728305817,643.4116728305817,42|123|456|789|1024,200,741d8a2,2026-09-06T03:53:09Z
Diagnosis-N4,POMCP,POMCP c=1 uniform,1.0,uniform,5,200,True,0.662,-14.097,28.033829403062292,3.817,0.015540270267920047,0.8696502170413112,0.8865075245027534,5,12.06431531906128,12.06431531906128,42|123|456|789|1024,200,741d8a2,2026-09-06T03:53:21Z
Diagnosis-N4,POMCP,POMCP c=2 uniform,2.0,uniform,5,200,True,0.696,-12.16,27.260858387072116,3.92,0.02373815494093843,1.3975594799506743,0.8620640347445195,5,12.41659688949585,12.41659688949585,42|123|456|789|1024,200,741d8a2,2026-09-06T03:53:33Z
Diagnosis-N4,POMCP,POMCP c=5 uniform,5.0,uniform,5,200,True,0.682,-12.806,27.727105222146793,3.726,0.020651876428063376,1.158932051502589,0.8768080542513281,5,11.955888032913208,11.955888032913208,42|123|456|789|1024,200,741d8a2,2026-09-06T03:53:45Z
Diagnosis-N4,POMCP,POMCP c=10 uniform,10.0,uniform,5,200,True,0.707,-11.35,27.113197893276993,3.77,0.020346989949375803,1.2097458410757196,0.857394599936342,5,12.122573852539062,12.122573852539062,42|123|456|789|1024,200,741d8a2,2026-09-06T03:53:57Z
