regime,n_envs,H=1,H=2,H=3
cost<1,19,0.15789473684210525,0.15789473684210525,0.5789473684210527
1<=cost<3,38,0.2631578947368421,0.5526315789473685,0.7894736842105263
cost>=3,43,0.3953488372093023,0.7906976744186046,0.8837209302325582
