env,margin,alpha,n_seeds,episodes_per_seed,mean_EFE,mean_SARSOP,diff,se,df,p_lower,p_upper,p_tost,equivalent,ci_conf,ci_lo,ci_hi
Tiger,1.0,0.05,5,500,5.0608,5.0608,0.0,0.22311539615185677,8.0,0.0010251972618614401,0.0010251972618614401,0.0010251972618614401,True,0.9,-0.4148937970553168,0.4148937970553168
Diagnosis,1.0,0.05,5,500,-1.2168,-1.452,0.23519999999999985,0.3835672561624623,6.20460682104551,0.008650523085914533,0.04581788485277879,0.04581788485277879,True,0.9,-0.5057615509719816,0.9761615509719813
Bandit,0.5,0.05,5,500,6.2612,6.2798,-0.018600000000000172,0.17529455211158168,7.757119094107783,0.012975321448685073,0.009412407766201857,0.012975321448685073,True,0.9,-0.345896716287185,0.30869671628718465
