scale_k,w,success,reward,obs,seed_list,episodes_per_seed,git_sha,generated_utc,environment
1.0,20.0,0.9916666666666667,5.115,9.62,42|123|456,200,696cbcd,2026-08-20T17:06:42Z,Bandit
1.0,50.0,0.9983333333333333,4.31,11.35,42|123|456,200,696cbcd,2026-08-20T17:07:35Z,Bandit
1.0,100.0,0.9983333333333333,3.8983333333333334,12.173333333333334,42|123|456,200,696cbcd,2026-08-20T17:08:31Z,Bandit
10.0,0.01,0.6866666666666666,55.31666666666667,3.296666666666667,42|123|456,200,696cbcd,2026-08-20T17:08:49Z,Bandit
10.0,0.1,0.6866666666666666,55.31666666666667,3.296666666666667,42|123|456,200,696cbcd,2026-08-20T17:09:07Z,Bandit
10.0,0.5,0.6866666666666666,55.31666666666667,3.296666666666667,42|123|456,200,696cbcd,2026-08-20T17:09:26Z,Bandit
10.0,1.0,0.6866666666666666,55.31666666666667,3.296666666666667,42|123|456,200,696cbcd,2026-08-20T17:09:44Z,Bandit
10.0,2.0,0.8616666666666667,57.43333333333333,6.023333333333333,42|123|456,200,696cbcd,2026-08-20T17:10:13Z,Bandit
10.0,5.0,0.8816666666666667,59.81666666666667,5.906666666666666,42|123|456,200,696cbcd,2026-08-20T17:10:43Z,Bandit
10.0,10.0,0.8533333333333334,61.65833333333333,5.028333333333333,42|123|456,200,696cbcd,2026-08-20T17:11:08Z,Bandit
10.0,20.0,0.8533333333333334,61.65833333333333,5.028333333333333,42|123|456,200,696cbcd,2026-08-20T17:11:33Z,Bandit
10.0,50.0,0.965,58.74166666666667,7.621666666666667,42|123|456,200,696cbcd,2026-08-20T17:12:10Z,Bandit
10.0,100.0,0.9883333333333333,53.141666666666666,9.161666666666667,42|123|456,200,696cbcd,2026-08-20T17:12:52Z,Bandit
