instance,metric,agent_a,agent_b,mean_a,mean_b,diff,se_a_seed_level,se_b_seed_level,n_seeds_a,n_seeds_b,ms_per_decision_a,ms_per_decision_b,t_stat,welch_df,p_seed_level_from_summary,same_protocol,significant_hb_seed_level
"RS[5,3]",Reward,EFE w=1 (d=3),Rollout only (approach),16.895,17.155,-0.26000000000000156,0.4462202371027113,0.439869298769532,5,5,1.712639092520037,0.0022264549523801,-0.41495364429499687,7.99835662486328,0.6890828151292892,True,False
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=10, 2048 sims)",16.895,12.813,4.081999999999999,0.4462202371027113,0.4254015749853308,5,5,1.712639092520037,47.92187041572225,6.621190191028998,7.9818065416476465,0.0001673913832838119,True,True
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=15, 2048 sims)",16.895,14.002,2.892999999999999,0.4462202371027113,0.3632444080780872,5,5,1.712639092520037,57.80062256433063,5.028005385712826,7.683728412529387,0.001148012187279647,True,True
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=25, 2048 sims)",16.895,13.25,3.6449999999999996,0.4462202371027113,0.4684282228901243,5,5,1.712639092520037,62.702644202250255,5.634175161937927,7.981201366834781,0.0004945057329270926,True,True
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=40, 2048 sims)",16.895,12.973,3.921999999999999,0.4462202371027113,0.2302639789459047,5,5,1.712639092520037,63.162500782577446,7.810734622103353,5.989255336791714,0.00023437721214051414,True,True
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=10, 16384 sims)",16.895,12.516,4.379,0.4462202371027113,0.2621993516391679,5,5,1.712639092520037,293.8686525355375,8.460970917437175,6.46797824048845,9.90994135695801e-05,True,True
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=15, 16384 sims)",16.895,15.601,1.2939999999999987,0.4462202371027113,0.3733343005939851,5,5,1.712639092520037,469.8447443141007,2.224132792612245,7.758386954305213,0.05783231590023536,True,False
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=25, 16384 sims)",16.895,15.239,1.6559999999999988,0.4462202371027113,0.3928784799400447,5,5,1.712639092520037,503.1080098636676,2.785393192449362,7.873745509612981,0.024096538204075948,True,False
"RS[5,3]",Reward,EFE w=1 (d=3),"POMCP (H=40, 16384 sims)",16.895,15.615,1.2799999999999994,0.4462202371027113,0.3628808344346665,5,5,1.712639092520037,530.3283534660789,2.225514874997249,7.68084796704359,0.05804974961038893,True,False
