env,scale_k,budget,w_star,w_star_over_alpha,usage_at_star,usage_se,achievable
Diagnosis,0.1,8.0,0.07368062997280775,0.7368062997280774,9.572,0.10091580649234265,True
Diagnosis,1.0,8.0,1.6817928305074292,1.6817928305074292,9.468,0.11706408501329502,True
Diagnosis,10.0,8.0,3.228004742743391,0.3228004742743391,9.224,0.22139557357815434,True
Bandit,0.1,8.0,0.8762152940154572,8.762152940154571,8.578,0.1715633993601198,True
Bandit,1.0,8.0,3.838766207332969,3.838766207332969,7.196,0.22531311546379196,True
Bandit,10.0,8.0,87.62152940154571,8.762152940154571,8.925999999999998,0.23385037951647622,True
