grid_size,num_states,max_steps,efe_planning_horizon,agent,mean_observations,std_observations,success_rate,mean_reward,std_reward,time_s
3,9,27,2,NavMyopic,32.086666666666666,58.34211019685714,0.904,2.0366666666666666,34.757123810170995,0.2879350185394287
3,9,27,2,NavInfoGain,37.29866666666667,65.92748641415726,0.864,-1.3693333333333333,39.70085128670277,19.835206985473633
3,9,27,2,NavEFE,37.461333333333336,65.05183962212155,0.872,-1.2906666666666666,38.97025591681715,183.21154022216797
5,25,75,2,NavMyopic,65.552,74.65438117976286,0.8066666666666666,-16.642666666666667,44.44735064720456,0.9021539688110352
5,25,75,2,NavInfoGain,76.888,79.2037759369253,0.76,-23.244,47.24623932829646,52.92207908630371
5,25,75,2,NavEFE,81.28133333333334,81.07469509587372,0.744,-25.760666666666665,48.2421156206437,553.6452190876007
7,49,147,2,NavMyopic,103.12533333333333,81.17498973342849,0.6573333333333333,-38.416,49.00364895256951,2.0340609550476074
7,49,147,2,NavInfoGain,112.664,82.99006629711775,0.6026666666666667,-44.278666666666666,50.11638133606837,78.26046586036682
7,49,147,2,NavEFE,106.84666666666666,81.91215918422748,0.628,-40.86333333333334,49.637764409324035,768.7495799064636
