env,budget_B_EFE,R_ref,ref_support,R_EFE,R_EFE_se,gap_EFE,gap_EFE_pct,w_star_PIG,R_PIG,R_PIG_se,U_PIG,gap_PIG,gap_PIG_pct,R_interp_legacy,lam_bracket_lo,lam_bracket_hi,gap_EFE_interp_legacy,gap_EFE_pct_interp_legacy
Tiger,4.324,5.016,lam=0:U=4.324:R=5.016:q=1.0000,5.016,0.1490801425035839,0.0,0.0,0.0,5.016,0.1490801425035839,4.324,0.0,0.0,5.016,0.4889663842714641,0.4889663842714641,0.0,0.0
Diagnosis,9.824000000000002,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,-1.2239999999999998,0.130018802059121,-0.041333333333333444,-3.2665964172813577,0.447213595499958,-1.2239999999999998,0.130018802059121,9.824000000000002,-0.041333333333333444,-3.2665964172813577,-1.2973333333333334,0.1069234599991187,0.1069234599991187,-0.0733333333333337,-5.6526207605344565
Bandit,5.104666666666667,6.314333333333333,lam=0:U=5.103:R=6.314:q=1.0000,6.3196666666666665,0.1189227106616357,-0.005333333333333634,-0.08446391807000424,1.069448800053393,6.3196666666666665,0.1189227106616357,5.104666666666667,-0.005333333333333634,-0.08446391807000424,6.31290717299578,0.0,0.1069234599991187,-0.00675949367088613,-0.1070741812868828
