Environment,Comparison,Cohen's d,Effect
Tiger,EFE vs Myopic,+0.438,small
Tiger,EFE vs Planning,+0.000,negligible
Tiger,EFE vs InfoGain-Tuned,+0.000,negligible
Tiger,EFE vs Planning+IG,+0.000,negligible
Tiger,EFE vs Thompson,+0.093,negligible
Testbed,EFE vs Myopic,-0.073,negligible
Testbed,EFE vs Planning,-0.183,negligible
Testbed,EFE vs InfoGain-Tuned,+0.693,medium
Testbed,EFE vs Planning+IG,+1.022,large
Testbed,EFE vs Thompson,-0.183,negligible
Diagnosis,EFE vs Myopic,+0.546,medium
Diagnosis,EFE vs Planning,+0.077,negligible
Diagnosis,EFE vs InfoGain-Tuned,+0.248,small
Diagnosis,EFE vs Planning+IG,+0.253,small
Diagnosis,EFE vs Thompson,+0.090,negligible
Bandit,EFE vs Myopic,+0.180,negligible
Bandit,EFE vs Planning,+0.141,negligible
Bandit,EFE vs InfoGain-Tuned,+0.363,small
Bandit,EFE vs Planning+IG,+0.367,small
Bandit,EFE vs Thompson,-0.014,negligible
