env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,Planning,-48.248,"[-48.632, -47.840]",-21.388,"[-22.440, -20.345]",-26.859999999999996,-1.3231141463429736,-46.77914925814833,0.0,5,2.278486327149549e-09,-47.70825183510631,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,InfoGain,-48.248,"[-48.632, -47.840]",-36.1644,"[-37.251, -35.074]",-12.083599999999997,-0.5759433955728943,-20.362674029459992,1.294305587857567e-88,5,4.830937740109857e-05,-8.061630512787744,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,InfoGain-Tuned,-48.248,"[-48.632, -47.840]",-23.5004,"[-23.964, -23.045]",-24.7476,-2.23816287783281,-79.13100741577891,0.0,5,1.491464786720192e-11,-36.1193244327025,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,Planning+IG,-48.248,"[-48.632, -47.840]",-23.8532,"[-24.366, -23.358]",-24.394799999999996,-2.1044579365322473,-74.40382388219005,0.0,5,2.3815704184228733e-10,-40.49875920514817,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,EpistemicOnly,-48.248,"[-48.632, -47.840]",-48.248,"[-48.632, -47.840]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
TILEWORLD EXPERIMENT (6x6),Reward,Myopic,EFE,-48.248,"[-48.632, -47.840]",-21.5284,"[-22.591, -20.439]",-26.719599999999996,-1.302846993357887,-46.062597192593344,0.0,5,6.0665382325359225e-09,-25.67822344867211,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,InfoGain,-21.388,"[-22.440, -20.345]",-36.1644,"[-37.251, -35.074]",14.776399999999999,0.5394839369292888,19.073637507195787,2.3957223939601914e-78,5,5.770335424367425e-05,10.379786827748791,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,InfoGain-Tuned,-21.388,"[-22.440, -20.345]",-23.5004,"[-23.964, -23.045]",2.1123999999999974,0.10159970847142279,3.5920921413359688,0.00033118897768434646,5,0.00061297934326768,4.230706805601304,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,Planning+IG,-21.388,"[-22.440, -20.345]",-23.8532,"[-24.366, -23.358]",2.4651999999999994,0.11694103580764506,4.134489970928235,3.615741256259784e-05,5,1.360939236949091e-05,6.526088443734042,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,EpistemicOnly,-21.388,"[-22.440, -20.345]",-48.248,"[-48.632, -47.840]",26.859999999999996,1.3231141463429736,46.77914925814833,0.0,5,2.278486327149549e-09,47.70825183510631,True,True
TILEWORLD EXPERIMENT (6x6),Reward,Planning,EFE,-21.388,"[-22.440, -20.345]",-21.5284,"[-22.591, -20.439]",0.14039999999999964,0.0051942091721952155,0.18364302642803002,0.8543009564282478,5,0.8216483652926541,0.15116805128029318,False,False
