regime,n_envs,H=1,H=2,H=3
alpha<3,7,0.7142857142857143,0.8571428571428571,0.8571428571428571
3<=alpha<10,12,0.3333333333333333,0.75,0.75
alpha>=10,81,0.25925925925925924,0.5308641975308642,0.7901234567901234
