env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
BANDIT EXPERIMENT (K=4),Reward,Myopic,Planning,5.5502,"[5.431, 5.670]",5.5687,"[5.458, 5.679]",-0.018499999999999517,-0.0044093228335272214,-0.22046614167636108,0.8255126402253681,5,0.8752846173547,-0.10248941791966303,False,False
BANDIT EXPERIMENT (K=4),Reward,Myopic,InfoGain,5.5502,"[5.431, 5.670]",5.6051,"[5.488, 5.726]",-0.05489999999999995,-0.012609505094393429,-0.6304752547196716,0.5283980977742229,5,0.6585666606335087,-0.2901879410425397,False,False
BANDIT EXPERIMENT (K=4),Reward,Myopic,InfoGain-Tuned,5.5502,"[5.431, 5.670]",4.4297,"[4.346, 4.511]",1.1204999999999998,0.3000988952271802,15.004944761359011,2.4023599463308323e-50,5,1.018722805453391e-05,6.17161498732607,True,True
BANDIT EXPERIMENT (K=4),Reward,Myopic,Planning+IG,5.5502,"[5.431, 5.670]",4.1745,"[4.089, 4.258]",1.3757000000000001,0.3646220374287242,18.23110187143621,4.433589568006125e-73,5,1.1267134839319017e-06,8.255331677157287,True,True
BANDIT EXPERIMENT (K=4),Reward,Myopic,EpistemicOnly,5.5502,"[5.431, 5.670]",3.3112,"[3.203, 3.423]",2.2390000000000003,0.5396456136796131,26.982280683980655,7.654980910490439e-155,5,2.2587855162463977e-08,13.633630102280929,True,True
BANDIT EXPERIMENT (K=4),Reward,Myopic,EFE,5.5502,"[5.431, 5.670]",6.2924,"[6.198, 6.386]",-0.7421999999999995,-0.1899991287707165,-9.499956438535827,2.5824782283383223e-21,5,0.00035140666308186385,-3.747782874115876,True,True
BANDIT EXPERIMENT (K=4),Reward,Myopic,Thompson,5.5502,"[5.431, 5.670]",6.2431,"[6.149, 6.338]",-0.6928999999999998,-0.1763158268101827,-8.815791340509135,1.3864325883485704e-18,5,0.0004357247097460256,-3.62804083767079,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning,InfoGain,5.5687,"[5.458, 5.679]",5.6051,"[5.488, 5.726]",-0.03640000000000043,-0.008678202031508413,-0.43391010157542076,0.6643630865355503,5,0.6691464467183683,-0.28050045093830084,False,False
BANDIT EXPERIMENT (K=4),Reward,Planning,InfoGain-Tuned,5.5687,"[5.458, 5.679]",4.4297,"[4.346, 4.511]",1.1389999999999993,0.3211563150378112,16.057815751890562,2.616938684122823e-57,5,3.4512255445766086e-07,9.622630444209863,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning,Planning+IG,5.5687,"[5.458, 5.679]",4.1745,"[4.089, 4.258]",1.3941999999999997,0.38859648381806394,19.4298241909032,1.4228844805089357e-82,5,1.1528818100886124e-08,14.847118879256072,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning,EpistemicOnly,5.5687,"[5.458, 5.679]",3.3112,"[3.203, 3.423]",2.2575,0.5670139870223503,28.350699351117512,3.9066997680482085e-170,5,1.7252455800512208e-10,25.211250900676237,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning,EFE,5.5687,"[5.458, 5.679]",6.2924,"[6.198, 6.386]",-0.7237,-0.19413593240156324,-9.706796620078164,3.533289390828177e-22,5,4.220881147718798e-05,-5.083582380364897,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning,Thompson,5.5687,"[5.458, 5.679]",6.2431,"[6.149, 6.338]",-0.6744000000000003,-0.1797217736425693,-8.986088682128464,3.0249763702403447e-19,5,4.1552076394688614e-05,-5.094656177627282,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain,InfoGain-Tuned,5.6051,"[5.488, 5.726]",4.4297,"[4.346, 4.511]",1.1753999999999998,0.3149199105288921,15.745995526444606,3.360249790044136e-55,5,6.011042727384986e-07,8.957102345122822,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain,Planning+IG,5.6051,"[5.488, 5.726]",4.1745,"[4.089, 4.258]",1.4306,0.3793114460038607,18.965572300193035,7.875770700289778e-79,5,3.19784341180479e-08,13.044681258408106,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain,EpistemicOnly,5.6051,"[5.488, 5.726]",3.3112,"[3.203, 3.423]",2.2939000000000003,0.5530445822582246,27.65222911291123,3.0065603893922045e-162,5,5.798896822868504e-10,21.648816452460576,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain,EFE,5.6051,"[5.488, 5.726]",6.2924,"[6.198, 6.386]",-0.6872999999999996,-0.1760049604797927,-8.800248023989637,1.5908905042452834e-18,5,0.00010274110379819017,-4.4857551595535705,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain,Thompson,5.6051,"[5.488, 5.726]",6.2431,"[6.149, 6.338]",-0.6379999999999999,-0.16240057119510712,-8.120028559755356,5.210468695560032e-16,5,0.00011197196905603803,-4.430950888543742,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain-Tuned,Planning+IG,4.4297,"[4.346, 4.511]",4.1745,"[4.089, 4.258]",0.2552000000000003,0.08409264795990785,4.204632397995393,2.6378454590978888e-05,5,0.0029670327725612833,2.6608915858091193,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain-Tuned,EpistemicOnly,4.4297,"[4.346, 4.511]",3.3112,"[3.203, 3.423]",1.1185000000000005,0.3203711444115615,16.018557220578074,4.846301953173357e-57,5,5.3940788666474525e-08,12.205007030401408,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain-Tuned,EFE,4.4297,"[4.346, 4.511]",6.2924,"[6.198, 6.386]",-1.8626999999999994,-0.5822643069073824,-29.11321534536912,6.197656243659828e-179,5,3.3591567443388235e-08,-12.963324952266422,True,True
BANDIT EXPERIMENT (K=4),Reward,InfoGain-Tuned,Thompson,4.4297,"[4.346, 4.511]",6.2431,"[6.149, 6.338]",-1.8133999999999997,-0.5618116292186834,-28.090581460934175,3.5344015037773354e-167,5,2.3671668374473126e-08,-13.552757679691968,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning+IG,EpistemicOnly,4.1745,"[4.089, 4.258]",3.3112,"[3.203, 3.423]",0.8633000000000002,0.24434409181241032,12.217204590620517,4.399979620747841e-34,5,9.341715967465045e-09,15.24779611530291,True,True
BANDIT EXPERIMENT (K=4),Reward,Planning+IG,EFE,4.1745,"[4.089, 4.258]",6.2924,"[6.198, 6.386]",-2.1178999999999997,-0.6527250996181305,-32.63625498090653,4.26881034333852e-222,5,3.883616662499644e-09,-17.036667407476987,True,True
