env,agent,sim_budget,success,reward,std_reward,se_reward_pooled,se_reward_seed_level,se_success_seed_level,n_seeds,obs,wall_clock_s,ms_per_ep
Tiger,EFE,0,0.9944,5.186,8.432876377606872,0.11925888143027336,0.20684873700363748,0.0018055470085267802,5,4.198,308.4006242752075,61.680124855041505
Tiger,Planning,0,0.9944,5.186,8.432876377606872,0.11925888143027336,0.20684873700363748,0.0018055470085267802,5,4.198,8.521743774414062,1.7043487548828127
Tiger,POMCP(500),500,0.895,-3.337,33.59843197234061,0.47515358169753913,0.31717897156022185,0.0028809720581775894,5,1.787,46.717525005340576,9.343505001068115
Tiger,POMCP(1000),1000,0.8938,-3.4822,33.749312336105454,0.47728735226485935,0.2807218196008283,0.002596150997149436,5,1.8002,93.76494526863098,18.752989053726196
Tiger,POMCP(2000),2000,0.9034,-2.4342,32.38499761247483,0.45799302840982203,0.30140013271397215,0.0027495454169735064,5,1.8082,186.32101488113403,37.264202976226805
Tiger,POMCP(5000),5000,0.9028,-2.542,32.468086423440475,0.45916808164331274,0.3374560712152027,0.003136877428271627,5,1.85,471.27808475494385,94.25561695098878
Diagnosis,EFE,0,0.9716,-1.3688,10.654200418614247,0.15067314728245373,0.1781938270535767,0.0026944387170614982,5,9.6648,428.70045495033264,85.74009099006653
Diagnosis,Planning,0,0.8882,-2.5656,19.063643320205085,0.26960062931677287,0.1964173108460657,0.0030397368307141354,5,5.8576,9.273473024368286,1.8546946048736572
Diagnosis,POMCP(500),500,0.7282,-10.101,26.57930772236177,0.3758881745945195,0.3196086669663385,0.005190375708944397,5,3.793,140.14369106292725,28.02873821258545
Diagnosis,POMCP(1000),1000,0.7412,-9.4892,26.157543526868118,0.3699235281406145,0.2245171262955234,0.0035972211497209933,5,3.9612,289.46758484840393,57.89351696968079
Diagnosis,POMCP(2000),2000,0.7442,-9.3712,26.026421393653028,0.3680691811494138,0.2463555154649476,0.004188078318274388,5,4.0232,594.5952758789062,118.91905517578125
Diagnosis,POMCP(5000),5000,0.7546,-8.804,25.687428520581815,0.3632750979629625,0.37280866406241164,0.005963220606350234,5,4.08,1559.5577380657196,311.9115476131439
Bandit,EFE,0,0.8694,6.2718,3.4226487929672245,0.04840356342254152,0.04212380562104997,0.0025612496949731414,5,5.1056,208.8278238773346,41.76556477546692
Bandit,Planning,0,0.7104,5.7495,3.949746795681971,0.055857854863931175,0.0794779843730325,0.008880315309717337,5,3.2882,5.122373819351196,1.0244747638702392
Bandit,POMCP(500),500,0.8206,5.7313,3.736248159584693,0.05283852819676188,0.07735706173323802,0.006407807737440298,5,5.3082,251.39924097061157,50.279848194122316
Bandit,POMCP(1000),1000,0.8768,5.2928,3.42005382413786,0.048366865021417293,0.04229231608696788,0.0046303347611160945,5,7.1968,679.6238670349121,135.9247734069824
Bandit,POMCP(2000),2000,0.9082,5.8964,3.2144466148934563,0.04545913998306611,0.05119140552866268,0.0026343879744639,5,6.5548,1302.2452671527863,260.4490534305572
Bandit,POMCP(5000),5000,0.972,5.1844,2.9279338517118174,0.04140723762822147,0.044646780399038834,0.0017888543819998333,5,9.1272,4661.082801103592,932.2165602207184
Tileworld-6x6,EFE,0,0.719,-21.617,27.326293400313183,0.8641332715501701,0.8714493674333582,0.014781745499094494,5,14.757,258.1402630805969,258.1402630805969
Tileworld-6x6,Planning,0,0.736,-21.405,26.927327661689713,0.8515168671259542,0.6430940833190738,0.010173494974687912,5,15.565,32.21090793609619,32.21090793609619
Tileworld-6x6,POMCP(500),500,0.055,-48.087,13.5703143294472,0.4291310184547372,0.5189739877874419,0.00935414346693485,5,1.387,19.586192846298218,19.586192846298218
Tileworld-6x6,POMCP(1000),1000,0.056,-47.988,13.760445341630481,0.43514348897806115,0.7162761339036793,0.012083045973594572,5,1.348,35.093685150146484,35.093685150146484
Tileworld-6x6,POMCP(2000),2000,0.085,-47.728,16.594035554981797,0.5247494792755873,0.33699629078077314,0.00632455532033676,5,2.828,128.27975702285767,128.27975702285767
Tileworld-6x6,POMCP(5000),5000,0.116,-46.762,19.15284198232732,0.6056660432944875,0.46206222524677404,0.007314369419163898,5,3.722,480.20630979537964,480.20630979537964
