,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,se_reward_pooled,mean_log_score,mean_brier,n_seeds,se_reward_seed_level,se_success_seed_level
Myopic,MyopicAgent,1.0,0.0,0.6098403047164005,0.8499999999999999,0.8498,-7.522,39.299408596059045,0.555777566297885,-0.4230560080170685,0.25527999999999995,5,0.2518015091297112,0.0022891046284519213
Planning,PlanningAgent,4.272,2.080292287155822,0.04893970304143952,0.9945344129554653,0.9944,5.112,8.474258433632999,0.11984411207898367,-0.0346218757438401,0.011137316133685193,5,0.17800786499478052,0.001400000000000001
InfoGain,InformationGainAgent,1.0,0.0,0.6098403047164005,0.8499999999999999,0.8478,-7.742,39.513610768948965,0.558806842477792,-0.4265252101278447,0.2580799999999999,5,0.46461166580274316,0.004223742416388579
InfoGain-Tuned,InformationGainAgent,4.2572,2.003459048745444,0.04893970304143952,0.9945344129554653,0.9954,5.2368,7.71709309001777,0.10913617709998827,-0.029418072577675775,0.00915917848186333,5,0.08270332520521771,0.0006782329983125274
Planning+IG,PlanningInfoGainAgent,5.6408,2.3621548128774283,0.011096924186696264,0.9990311236573287,0.9992,4.2712,3.9022109835322847,0.05518559696152611,-0.0065200693839857,0.0015987770384382283,5,0.06289864863413205,0.00037416573867739446
EpistemicOnly,EpistemicOnlyAgent,0.0,0.0,1.0,0.5,0.4952,-45.528,54.99746554160473,0.7777816166508437,-0.6931471805599454,0.5,5,0.8692088356660903,0.00790189850605536
EFE,EFEAgent,4.266,2.0102845569719725,0.04893970304143952,0.9945344129554653,0.994,5.074,8.72459305641243,0.12338437826564592,-0.036703397010305824,0.011928571194413939,5,0.15404025447914585,0.0013038404810405309
Thompson,ThompsonSamplingAgent,2.6604,1.3362154916030573,0.19540057665116506,0.9697986577181208,0.973,4.3696,17.899882564977908,0.2531425668827746,-0.12433525538393005,0.05256249718481149,5,0.18856659301159365,0.0017320508075688787
PyMDP-AIF,PyMDPAgent,2.674,1.3300090225257872,0.19540057665116506,0.9697986577181208,0.9678,3.784,19.467833572331568,0.2753167426801356,-0.14237510635996634,0.06233430926534841,5,0.3769567614461902,0.00333766385365573
