,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,mean_log_score,mean_brier,time_s
Myopic,MyopicAgent,0.0,0.0,6.0,0.015625,0.0136,-49.184,6.949398822919865,-4.1588830833596715,0.984375,0.9559097290039062
Planning,PlanningAgent,0.0,0.0,6.0,0.015625,0.0152,-49.088,7.340862074715749,-4.1588830833596715,0.984375,8.354281187057495
InfoGain,InformationGainAgent,0.0,0.0,6.0,0.015625,0.0176,-48.944,7.889541431540872,-4.1588830833596715,0.984375,3.785285234451294
InfoGain-Tuned,InformationGainAgent,39.716,8.241804656748423,0.22051772317883261,0.9768796258193041,0.9752,-31.204,12.40251522877517,-0.1609122431170371,0.04888588225538378,147.53886699676514
Planning+IG,PlanningInfoGainAgent,39.6232,8.028973892098541,0.22051772317883261,0.9768796258193041,0.974,-31.1832,12.63291089812637,-0.16756645605041262,0.05122123511085806,2038.357584953308
EpistemicOnly,EpistemicOnlyAgent,200.0,0.0,5.0,0.03125,0.0,-200.0,0.0,-3.4657359027997257,0.96875,9309.461765050888
EFE,EFEAgent,17.5944,4.039441624779346,1.9365417533843887,0.695066516433366,0.686,-26.4344,28.193305883489437,-1.353007386993763,0.5168198047383998,5802.755980014801
