,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,time_s
Myopic,MyopicAgent,4.0,0.0,2.887712379549449,0.40960000000000013,0.4116666666666667,-29.3,29.52812218885583,0.3211829662322998
Planning,PlanningAgent,11.836666666666666,3.3555906915011087,1.2910278355895923,0.7846649345673544,0.7916666666666666,-14.336666666666666,24.378132049486936,39.211506366729736
InfoGain,InformationGainAgent,4.0,0.0,2.887712379549449,0.40960000000000013,0.40166666666666667,-29.9,29.414112259254065,3.567695140838623
InfoGain-Tuned,InformationGainAgent,26.56,6.745349014938614,0.14701181545255498,0.9845264038961672,0.985,-17.46,10.162762091741268,18.361567974090576
Planning+IG,PlanningInfoGainAgent,26.636666666666667,6.285538074730666,0.14701181545255498,0.9845264038961672,0.9866666666666667,-17.436666666666667,9.28705132010275,1266.8266770839691
EpistemicOnly,EpistemicOnlyAgent,200.0,0.0,3.0,0.125,0.0,-200.0,0.0,9157.844093084335
EFE,EFEAgent,11.633333333333333,3.3364984972605973,1.2910278355895923,0.7846649345673544,0.7966666666666666,-13.833333333333334,24.331849269812782,533.9584069252014
Thompson,ThompsonSamplingAgent,11.92,3.2506819797287667,1.2910278355895923,0.7846649345673544,0.7766666666666666,-15.32,25.439161411755173,67.34725570678711
