instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,mean_good,mean_bad,mean_checks,mean_steps,time_s,n_seeds,episodes_per_seed,seed_list,tree_depth
"RS[11,11]",Greedy,-18.9,32.432082880999175,1.4504068394764276,1.0449880382090502,5.48,5.52,0.0,57.0,0.0931098461151123,5,100,42|123|456|789|1024,2
"RS[11,11]",POMCP (1000),-87.22,13.617694371662187,0.6090018062370587,0.47581509013481477,2.984,0.156,165.754,231.0,3962.982006072998,5,100,42|123|456|789|1024,2
"RS[11,11]",Planning (d=2),13.228,5.307543311175143,0.2373605527462388,0.17939899665271258,0.476,0.028,1.0,2.504,1.0180580615997314,5,100,42|123|456|789|1024,2
"RS[11,11]",Plan+IG w=5 (d=2),13.176,5.555449936773798,0.24844727408446243,0.14692174787961113,0.502,0.03,1.556,3.088,1.0965979099273682,5,100,42|123|456|789|1024,2
"RS[11,11]",Plan+IG w=10 (d=2),13.176,5.555449936773798,0.24844727408446243,0.14692174787961113,0.502,0.03,1.556,3.088,1.1555163860321045,5,100,42|123|456|789|1024,2
"RS[11,11]",EFE w=1 (d=2),13.228,5.307543311175143,0.2373605527462388,0.17939899665271258,0.476,0.028,1.0,2.504,0.9686031341552734,5,100,42|123|456|789|1024,2
