env,budget,w_star,w_lo,w_hi,usage_at_star,usage_lo,usage_hi,usage_se_at_star,bracketed,achievable,u_min,u_max,note
"RS[5,3]",3.46656,0.0,0.3162277660168379,1.333521432163324,3.704,3.0,4.792,0.1137365376649034,True,True,3.0,8.831999999999999,
"RS[5,3]",5.09952,5.623413251903491,1.333521432163324,5.623413251903491,5.3919999999999995,4.792,5.3919999999999995,0.0808949936646267,True,True,3.0,8.831999999999999,
"RS[5,3]",6.73248,23.71373705661655,5.623413251903491,23.71373705661655,7.988,5.3919999999999995,7.988,0.1214248738932842,True,True,3.0,8.831999999999999,
"RS[5,3]",8.36544,23.71373705661655,23.71373705661655,100.0,7.988,7.988,8.831999999999999,0.1214248738932842,True,True,3.0,8.831999999999999,
"RS[7,4]",3.0032,0.3162277660168379,0.3162277660168379,2.1544346900318843,3.0,3.0,5.766666666666667,0.0,True,True,2.0,14.54,
"RS[7,4]",6.5144,2.1544346900318843,2.1544346900318843,14.677992676220706,5.766666666666667,5.766666666666667,9.153333333333332,0.0760116950066091,True,True,2.0,14.54,
"RS[7,4]",10.0256,14.677992676220706,14.677992676220706,100.0,9.153333333333332,9.153333333333332,14.54,0.3496982826507571,True,True,2.0,14.54,
"RS[7,4]",13.5368,100.0,14.677992676220706,100.0,14.54,9.153333333333332,14.54,0.2717024516308643,True,True,2.0,14.54,
Inspection-N16,25.270719999999997,1.333521432163324,0.3162277660168379,1.333521432163324,27.848000000000003,22.376,27.848000000000003,0.1105621996886822,True,True,22.376,58.56,
Inspection-N16,35.40224,5.623413251903491,1.333521432163324,5.623413251903491,39.720000000000006,27.848000000000003,39.720000000000006,0.2365586608010796,True,True,22.376,58.56,
Inspection-N16,45.53376,23.71373705661655,23.71373705661655,100.0,44.888,44.888,58.56,0.2002598312193438,True,True,22.376,58.56,
Inspection-N16,55.66528,100.0,23.71373705661655,100.0,58.56,44.888,58.56,0.2626023609947177,True,True,22.376,58.56,
