instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,mean_good,mean_bad,se_bad_seed_level,mean_checks,mean_steps,truncation_rate,mean_planning_ms,mean_tree_depth,time_s,n_seeds,episodes_per_seed,seed_list,num_simulations,stage,rollout_policy,exploration_constant,planning_horizon,root_criterion
"RS[5,3]",POMCP c=1 H=15 value preferred,9.493333333333334,0.08137703743822468,0.0066444072834338005,0.006666666666666525,0.006666666666666667,0.0,0.0,0.08666666666666667,1.1466666666666667,0.0,6.645511591746028,3.2933333333333334,1.53554105758667,3,50,11|22|33,1024,tuning-A,preferred,1.0,15,value
"RS[7,8]",POMCP c=1 H=15 value preferred,9.293333333333333,2.0600862980845136,0.16820534188020617,0.13531855420123,0.05333333333333334,0.013333333333333334,0.006666666666666667,0.8066666666666666,2.2133333333333334,0.0,20.094102565602498,3.8533333333333335,11.580379247665405,3,50,11|22|33,1024,tuning-A,preferred,1.0,15,value
"RS[5,3]",POMCP c=2 H=15 value preferred,9.52,0.6024394852043925,0.04918897798852459,0.05859465277082347,0.006666666666666667,0.0,0.0,0.06,1.0933333333333333,0.0,7.468371201666688,3.64,1.436476707458496,3,50,11|22|33,1024,tuning-A,preferred,2.0,15,value
"RS[7,8]",POMCP c=2 H=15 value preferred,9.713333333333333,2.964988289277979,0.24209028006862174,0.260277629550533,0.18,0.02,0.0,1.8,3.7733333333333334,0.0,25.811753924072317,4.286666666666667,23.774181127548218,3,50,11|22|33,1024,tuning-A,preferred,2.0,15,value
"RS[5,3]",POMCP c=5 H=15 value preferred,9.553333333333333,0.6510162995057973,0.0531552582674704,0.05333333333333338,0.013333333333333334,0.0,0.0,0.06666666666666667,1.16,0.0,13.496901982475942,4.253333333333333,2.6742920875549316,3,50,11|22|33,1024,tuning-A,preferred,5.0,15,value
"RS[7,8]",POMCP c=5 H=15 value preferred,10.286666666666667,4.171469232243666,0.34059903655721596,0.4983416944672047,0.42,0.0,0.0,4.386666666666667,7.826666666666667,0.0,45.12118177784956,4.446666666666666,57.8892662525177,3,50,11|22|33,1024,tuning-A,preferred,5.0,15,value
"RS[5,3]",POMCP c=10 H=15 value preferred,9.603333333333333,1.2613440802924825,0.10298831289322391,0.1033333333333335,0.02,0.0,0.0,0.10666666666666667,1.1933333333333334,0.0,23.201708318444147,4.073333333333333,4.291262865066528,3,50,11|22|33,1024,tuning-A,preferred,10.0,15,value
"RS[7,8]",POMCP c=10 H=15 value preferred,9.313333333333333,5.163831480166211,0.421625074804267,0.44054259473719176,0.52,0.02666666666666667,0.017638342073763937,7.06,11.24,0.0,53.20904736820791,4.013333333333334,88.24925899505615,3,50,11|22|33,1024,tuning-A,preferred,10.0,15,value
"RS[5,3]",POMCP c=20 H=15 value preferred,9.496666666666666,0.04068851871911235,0.0033222036417169015,0.0033333333333332624,0.0,0.0,0.0,0.006666666666666667,1.0066666666666666,0.0,27.668785089999613,4.0,4.2020111083984375,3,50,11|22|33,1024,tuning-A,preferred,20.0,15,value
"RS[7,8]",POMCP c=20 H=15 value preferred,8.96,7.974024496241949,0.6510763737415485,0.5631163290120434,0.8333333333333334,0.04666666666666667,0.024037008503093264,11.366666666666667,17.813333333333333,0.0,52.058356990712696,3.74,131.94776105880737,3,50,11|22|33,1024,tuning-A,preferred,20.0,15,value
"RS[5,3]",POMCP c=1 H=15 value approach,10.05,7.71529865483724,0.629951497251089,0.7211333672305932,1.06,0.07333333333333333,0.006666666666666669,10.08,19.633333333333333,0.0,32.784050136639124,9.433333333333334,96.00047492980957,3,50,11|22|33,1024,tuning-A,approach,1.0,15,value
"RS[7,8]",POMCP c=1 H=15 value approach,2.59,13.06165762834105,1.0664798794789019,1.524237514300183,3.04,0.08666666666666667,0.03711842908553348,49.64666666666667,73.88666666666667,0.0,82.3773831340926,7.8,905.1130220890045,3,50,11|22|33,1024,tuning-A,approach,1.0,15,value
"RS[5,3]",POMCP c=2 H=15 value approach,11.283333333333333,7.856296130422331,0.6414638929245557,0.9661147849907786,1.14,0.06,0.034641016151377546,9.3,19.033333333333335,0.0,46.91794796335529,8.333333333333334,133.32196712493896,3,50,11|22|33,1024,tuning-A,approach,2.0,15,value
