,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,se_reward_pooled,mean_log_score,mean_brier,n_seeds,se_reward_seed_level,se_success_seed_level,time_s,planning_horizon,info_gain_weight,seed_list,episodes_per_seed,git_sha,generated_utc
Myopic,MyopicAgent,2.0,0.0,1.4438561897747242,0.6400000000000002,0.6472,-13.168,28.67046870910903,0.40546165688015434,-0.9919325631652085,0.53088,5,0.5771862784231795,0.009619771307052999,1.608262062072754,,,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:05:06Z
Planning,PlanningAgent,5.8576,2.318042760606456,0.6455139177947962,0.8858131487889274,0.8882,-2.5656,19.063643320205085,0.26960062931677287,-0.44342405315713224,0.20532613354725157,5,0.1964173108460657,0.0030397368307141354,21.634376287460327,3,,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:05:27Z
InfoGain,InformationGainAgent,2.0,0.0,1.4438561897747242,0.6400000000000002,0.6472,-13.168,28.67046870910903,0.40546165688015434,-0.9919325631652085,0.53088,5,0.5771862784231795,0.009619771307052999,14.577977657318115,,1.0,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:05:42Z
InfoGain-Tuned,InformationGainAgent,13.1932,4.656809397001342,0.07350590772627749,0.9922330391073294,0.9936,-3.5772,6.708654124338204,0.09487469647909287,-0.0432864164759837,0.012741342520801663,5,0.09614281044363118,0.0005099019513592789,65.96487593650818,,100.0,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:06:48Z
Planning+IG,PlanningInfoGainAgent,13.1636,4.6234656957741125,0.07350590772627748,0.9922330391073294,0.9918,-3.6556,7.083882314098675,0.10018122442853251,-0.05326773587604691,0.016299428184475603,5,0.11519097186845849,0.0011575836902790234,1316.2814331054688,3,50.0,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:28:44Z
EpistemicOnly,EpistemicOnlyAgent,0.0,0.0,2.0,0.25,0.2474,-35.156,25.89006882957247,0.3661408646955431,-1.3862943611198908,0.75,5,0.17859451279364608,0.0029765752132274457,91.83798313140869,3,,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:30:16Z
EFE,EFEAgent,9.6648,3.7663299058898176,0.22935101067229344,0.969467455621302,0.9716,-1.3688,10.654200418614247,0.15067314728245373,-0.15078420587268898,0.055608489898813084,5,0.1781938270535767,0.0026944387170614982,1009.889630317688,3,,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:47:06Z
Thompson,ThompsonSamplingAgent,5.832,2.2832818485679773,0.6455139177947962,0.8858131487889274,0.8842,-2.78,19.34634849267427,0.2735986842073624,-0.4545144080460913,0.2119697321631685,5,0.2940387729535001,0.005190375708944397,114.66063785552979,,,42|123|456|789|1024,1000,0aee8fd,2026-08-20T02:49:01Z
