env,gamma,metric,diff,p_seed_level,cohens_d_seed_level,n_seeds,significant_hb_seed_level
Tiger,0.9,Reward,1.4120000000000008,0.017738237676895106,1.942456579754375,5,False
Tiger,0.9,Success,0.027200000000000002,0.0003178777587263214,4.167389608644087,5,True
Tiger,0.95,Reward,0.0,1.0,0.0,5,False
Tiger,0.95,Success,0.0,1.0,0.0,5,False
Tiger,0.99,Reward,0.0,1.0,0.0,5,False
Tiger,0.99,Success,0.0,1.0,0.0,5,False
Tiger,1.0,Reward,0.0,1.0,0.0,5,False
Tiger,1.0,Success,0.0,1.0,0.0,5,False
Diagnosis,0.9,Reward,0.047200000000000575,0.9309581909825191,0.056729392447780184,5,False
Diagnosis,0.9,Success,0.00039999999999995595,0.9621993157756052,0.031139957766457463,5,False
Diagnosis,0.95,Reward,0.047200000000000575,0.9309581909825191,0.056729392447780184,5,False
Diagnosis,0.95,Success,0.00039999999999995595,0.9621993157756052,0.031139957766457463,5,False
Diagnosis,0.99,Reward,0.964,0.07189744626142132,1.3484999863648985,5,False
Diagnosis,0.99,Success,0.07919999999999972,1.718816431384773e-05,7.656552993241622,5,True
Diagnosis,1.0,Reward,1.3287999999999998,0.030881741102912034,1.6568836154081052,5,False
Diagnosis,1.0,Success,0.08600000000000008,4.114066908930385e-06,6.980114800993327,5,True
Bandit,0.9,Reward,-0.015600000000000058,0.9413243357798267,-0.0480736974290134,5,False
Bandit,0.9,Success,-0.0016000000000000458,0.9465068730573218,-0.0438068542554727,5,False
Bandit,0.95,Reward,-0.015600000000000058,0.9413243357798267,-0.0480736974290134,5,False
Bandit,0.95,Success,-0.0016000000000000458,0.9465068730573218,-0.0438068542554727,5,False
Bandit,0.99,Reward,0.6278000000000006,0.0040357111305616014,2.591901236937019,5,False
Bandit,0.99,Success,0.22439999999999993,4.0785463864201244e-06,8.807113575848366,5,True
Bandit,1.0,Reward,0.5739999999999998,0.008219930404959856,2.281580346910687,5,False
Bandit,1.0,Success,0.17039999999999988,2.7674865140222783e-05,6.587060074901745,5,True
