,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,se_reward_pooled,mean_log_score,mean_brier,n_seeds,se_reward_seed_level,se_success_seed_level,time_s
Myopic,MyopicAgent,2.0812,0.8638324837605957,1.5238568016154823,0.6164625454545456,0.6212,5.5502,4.354615937140725,0.061583569172304384,-1.0534743747538198,0.5579083165997639,5,0.10152322394408092,0.010869222603295979,0.9161102771759033
Planning,PlanningAgent,3.2754,2.243112756862659,1.2942759297844402,0.6938517808906132,0.6896,5.5687,4.029557086082787,0.05698654281494886,-0.9078857050748066,0.4663055905528613,5,0.0522117323979964,0.003893584466786336,5.482656002044678
InfoGain,InformationGainAgent,2.0578,0.8602669120685742,1.5228339162281195,0.6167642597402598,0.626,5.6051,4.352229772197235,0.06154982370405296,-1.0432355811090919,0.5527081827222129,5,0.06332325797051193,0.006782329983125273,13.346513748168945
InfoGain-Tuned,InformationGainAgent,11.0758,5.875751386844069,0.03774871294431485,0.9965444641429969,0.9964,4.4297,2.9856000921087875,0.04222276142082609,-0.02675224364082025,0.007176559237257725,5,0.05364899812671234,0.0009273618495495711,50.396525144577026
Planning+IG,PlanningInfoGainAgent,11.6006,6.089686333465789,0.027405291196300113,0.9976380463626596,0.9972,4.1745,3.0825151662238417,0.043593347542945124,-0.022604831823450862,0.0055898033352157084,5,0.028303710004167235,0.0009165151389911689,446.6082851886749
EpistemicOnly,EpistemicOnlyAgent,0.0,0.0,2.0,0.25,0.2568,3.3112,3.9318131389983426,0.05560423465888187,-1.3862943611198908,0.75,5,0.021934903692517067,0.0024372115213907902,36.1748743057251
EFE,EFEAgent,5.104,3.2493051564911535,0.760185769510044,0.8666337624884128,0.8716,6.2924,3.3985441353614934,0.04806267208551768,-0.5135544263767884,0.23301772155257178,5,0.07335195975568756,0.006622688275919384,217.25312614440918
Thompson,ThompsonSamplingAgent,5.0406,3.1442887335612166,0.7554835622440805,0.8676047378720776,0.8626,6.2431,3.4523980636653127,0.04882428164346097,-0.5368531863160906,0.24764102239522773,5,0.06544528248850343,0.00452327315115946,81.99342894554138
