regime,n_envs,H=1,H=2,H=3
p<0.65,25,0.2,0.08,0.24
0.65<=p<0.85,45,0.1111111111111111,0.08888888888888889,0.3111111111111111
p>=0.85,30,0.03333333333333333,0.5,0.6
