env,margin,alpha,n_seeds,episodes_per_seed,mean_EFE,mean_SARSOP,diff,se,df,p_lower,p_upper,p_tost,equivalent,ci_conf,ci_lo,ci_hi
Tiger,1.0,0.05,20,500,5.0767999999999995,5.0767999999999995,0.0,0.12376589105837556,38.0,4.4773915019128183e-10,4.4773915019128183e-10,4.4773915019128183e-10,True,0.9,-0.20866365604637874,0.20866365604637874
Diagnosis,1.0,0.05,20,500,-1.1454,-1.2918,0.14640000000000009,0.1445445114470753,32.39187113803372,2.16928690602073e-09,6.82288139505583e-07,6.82288139505583e-07,True,0.9,-0.09835407403497634,0.3911540740349765
Bandit,0.5,0.05,20,500,6.29895,6.316599999999999,-0.01764999999999972,0.055071526457106584,37.93802272077552,6.020624997595541e-11,9.421049786660908e-12,6.020624997595541e-11,True,0.9,-0.11050187530944568,0.07520187530944623
