env,agent,true_acc,agent_acc,mismatch,success,reward,std_reward,obs,n_seeds,n_episodes,se_success_seed_level,se_reward_seed_level
Tiger,EFE,0.85,0.7,-0.15000000000000002,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Planning,0.85,0.7,-0.15000000000000002,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Thompson,0.85,0.7,-0.15000000000000002,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,EFE,0.85,0.75,-0.09999999999999998,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Planning,0.85,0.75,-0.09999999999999998,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Thompson,0.85,0.75,-0.09999999999999998,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,EFE,0.85,0.8,-0.04999999999999993,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Planning,0.85,0.8,-0.04999999999999993,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Thompson,0.85,0.8,-0.04999999999999993,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,EFE,0.85,0.85,0.0,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Planning,0.85,0.85,0.0,0.996,5.3264,7.167416761986148,4.2336,5,2500,0.002280350850198278,0.26061036050011516
Tiger,Thompson,0.85,0.85,0.0,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,EFE,0.85,0.9,0.050000000000000044,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,Planning,0.85,0.9,0.050000000000000044,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,Thompson,0.85,0.9,0.050000000000000044,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,EFE,0.85,0.95,0.09999999999999998,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,Planning,0.85,0.95,0.09999999999999998,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Tiger,Thompson,0.85,0.95,0.09999999999999998,0.9688,3.9144,19.12662732004783,2.6536,5,2500,0.0034409301068170535,0.37874022759669984
Diagnosis,EFE,0.8,0.65,-0.15000000000000002,0.8872,-2.624,19.078643138336645,5.856,5,2500,0.004176122603564224,0.3060823418624472
Diagnosis,Planning,0.8,0.65,-0.15000000000000002,0.8916,-2.3464,18.72939953762533,5.8424,5,2500,0.007807688518377261,0.5119540604390203
Diagnosis,EFE,0.8,0.7,-0.10000000000000009,0.9736,-1.2624,10.338585311347003,9.6784,5,2500,0.0053814496188294885,0.3417428272839095
Diagnosis,Planning,0.8,0.7,-0.10000000000000009,0.9764,-1.1216,9.919496632390175,9.7056,5,2500,0.0039698866482558446,0.2563235455435181
Diagnosis,EFE,0.8,0.75,-0.050000000000000044,0.9736,-1.2624,10.338585311347003,9.6784,5,2500,0.0053814496188294885,0.3417428272839095
Diagnosis,Planning,0.8,0.75,-0.050000000000000044,0.9732,-1.2856,10.40661485018063,9.6776,5,2500,0.00516139516022558,0.3207955111905402
Diagnosis,EFE,0.8,0.8,0.0,0.9736,-1.2624,10.338585311347003,9.6784,5,2500,0.0053814496188294885,0.3417428272839095
Diagnosis,Planning,0.8,0.8,0.0,0.8876,-2.5912,19.02337726482866,5.8472,5,2500,0.005635601121442153,0.3748138738093883
Diagnosis,EFE,0.8,0.85,0.04999999999999993,0.8872,-2.624,19.078643138336645,5.856,5,2500,0.004176122603564224,0.3060823418624472
Diagnosis,Planning,0.8,0.85,0.04999999999999993,0.8872,-2.624,19.078643138336645,5.856,5,2500,0.004176122603564224,0.3060823418624472
Diagnosis,EFE,0.8,0.9,0.09999999999999998,0.8872,-2.624,19.078643138336645,5.856,5,2500,0.004176122603564224,0.3060823418624472
Diagnosis,Planning,0.8,0.9,0.09999999999999998,0.8868,-2.6136,19.120823597324463,5.8216,5,2500,0.006916646586316239,0.39640504537656934
