instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,mean_good,mean_bad,mean_checks,mean_steps,time_s,n_seeds,episodes_per_seed,seed_list,tree_depth
"RS[5,3]",Greedy,3.708,17.44691193306139,0.2467365947726441,0.2633156112180042,1.4854,1.5146,0.0,12.0,0.17704987525939941,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
"RS[5,3]",POMCP (1000),-9.9235,13.678091889953073,0.19343743058157076,0.20268647107183932,1.224,0.0262,20.6914,51.003,1142.6451530456543,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
"RS[5,3]",Planning (d=3),14.2799,7.540477835654714,0.10663846021956619,0.12695847527614854,0.9882,0.041,3.709,10.3842,113.659334897995,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
"RS[5,3]",Plan+IG w=5 (d=3),16.4138,8.08067259329321,0.11427796774531826,0.12531771179242332,1.4378,0.006,5.3646,15.8084,137.78782176971436,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
"RS[5,3]",Plan+IG w=10 (d=3),14.601,7.524818868251913,0.10641700897882819,0.11434120478248917,1.482,0.0044,6.6288,20.35,246.56950783729553,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
"RS[5,3]",EFE w=1 (d=3),16.4727,8.475411772297557,0.11986042275079795,0.1228852264875193,1.439,0.0286,4.795,15.2626,130.26281905174255,10,500,42|123|456|789|1024|2048|3141|4096|5555|6789,3
