environment,p,c,R_plus,R_minus,alpha,w_ret,I_max_nats,eta_nats,w_thresh_lower_nats,w_thresh_upper_nats,w1_in_interval_nats,w1_sufficient_nats,I_max_bits,eta_bits,w_thresh_lower_bits,w_thresh_upper_bits,w1_in_interval_bits,w1_sufficient_bits
Testbed,0.75,0.1,1.0,-1.0,1.0,0.5,0.130812035941137,1.30812035941137,-3.0578226011251184,1.00777911207698,True,True,0.18872187554086717,1.8872187554086717,-2.1195211146223545,0.6985392501633638,False,True
Tiger,0.85,1.0,10.0,-100.0,10.0,1.0,0.27043809275395436,0.27043809275395436,-138.66389759713934,6.894043981503409,True,True,0.3901596952835995,0.3901596952835995,-96.11448966491011,4.7785871484353475,True,True
Diagnosis,0.8,1.0,10.0,-50.0,5.0,0.5,0.19274475702175742,0.19274475702175742,-88.19954567210878,7.907198960080524,True,True,0.2780719051126377,0.2780719051126377,-61.13526640929032,5.480852665306351,True,True
Tileworld,0.8,1.0,10.0,-50.0,5.0,0.5,0.19274475702175742,0.19274475702175742,-88.19954567210878,7.907198960080524,True,True,0.2780719051126377,0.2780719051126377,-61.13526640929032,5.480852665306351,True,True
