instance,agent,mean_reward,std_reward,se_reward_pooled,se_reward_seed_level,accuracy,se_accuracy_seed_level,n_seeds,mean_correct,mean_missed,mean_false_alarm,mean_tests,se_tests_seed_level,completion_rate,mean_steps,mean_log_score,mean_brier,time_s,seed_list,episodes_per_seed,git_sha,generated_utc
Inspection-N8,Greedy,-114.3256,66.58616060894335,1.331723212178867,1.956637769235787,0.70715,0.004703456176047566,5,5.6572,2.3428,0.0,0.0,0.0,1.0,25.0,-0.604806122353125,0.4142799999999999,0.6397171020507812,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:28:03Z
Inspection-N8,Planning (d=3),-17.8548,17.168905525979227,0.34337811051958456,0.23281804053809949,0.7303,0.0027424897447392506,5,5.8424,0.0708,2.0868,12.6908,0.045662238228102836,1.0,38.6908,-0.4173322537618556,0.28585439810650887,186.69854402542114,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:28:03Z
Inspection-N8,Plan+IG w=5 (d=3),-27.9822,17.69344463805734,0.3538688927611468,0.4421393897856198,0.9631,0.0012614475811542946,5,7.7048,0.098,0.1972,19.7112,0.0426267521634006,1.0,59.1592,-0.14377455140777123,0.06854291863322083,322.2441101074219,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:28:03Z
Inspection-N8,EFE w=1 (d=3),-20.9516,17.831092435406195,0.3566218487081239,0.29941502968288,0.91075,0.002183746780192244,5,7.286,0.0932,0.6208,15.5448,0.07042897131152774,1.0,47.5448,-0.24514710396110131,0.14415919381781728,236.95225405693054,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:28:03Z
