instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[7,4]",Reward,Greedy,Flat-MC (1000),-1.376,-25.5087,24.1327,1.357830697406167,67.89153487030835,0.0,10,2.4496134239349912e-18,26.10480706024955,True,True
"RS[7,4]",Reward,Greedy,Planning (d=4),-1.376,13.9698,-15.3458,-0.9997383085375232,-49.98691542687617,0.0,10,4.023922680100836e-13,-18.1962244129425,True,True
"RS[7,4]",Reward,Greedy,Plan+IG w=5 (d=4),-1.376,14.5576,-15.9336,-1.020664344420805,-51.033217221040246,0.0,10,3.8797878059394505e-14,-18.36695046277185,True,True
"RS[7,4]",Reward,Greedy,Plan+IG w=10 (d=4),-1.376,14.2715,-15.6475,-1.002904422037391,-50.145221101869566,0.0,10,4.3020060731534817e-14,-18.00707462757536,True,True
"RS[7,4]",Reward,Greedy,EFE w=1 (d=4),-1.376,15.9604,-17.3364,-1.1172650545440448,-55.86325272720223,0.0,10,7.819782398890259e-15,-19.808710904711877,True,True
"RS[7,4]",Reward,Flat-MC (1000),Planning (d=4),-25.5087,13.9698,-39.4785,-3.3808549574333324,-169.04274787166662,0.0,10,1.1224431698621524e-24,-75.90669009642193,True,True
"RS[7,4]",Reward,Flat-MC (1000),Plan+IG w=5 (d=4),-25.5087,14.5576,-40.0663,-3.3337595380277163,-166.6879769013858,0.0,10,1.8917222573194096e-27,-71.7488736751409,True,True
"RS[7,4]",Reward,Flat-MC (1000),Plan+IG w=10 (d=4),-25.5087,14.2715,-39.7802,-3.313114597840791,-165.65572989203957,0.0,10,1.6415503380554067e-27,-70.95081149478668,True,True
"RS[7,4]",Reward,Flat-MC (1000),EFE w=1 (d=4),-25.5087,15.9604,-41.4691,-3.4860428816045452,-174.3021440802273,0.0,10,3.085385744072207e-28,-72.71762366581487,True,True
"RS[7,4]",Reward,Planning (d=4),Plan+IG w=5 (d=4),13.9698,14.5576,-0.5878000000000014,-0.0733725672366352,-3.668628361831764,0.0002451424815031,10,0.0052284114043651,-1.4321159309319451,True,True
"RS[7,4]",Reward,Planning (d=4),Plan+IG w=10 (d=4),13.9698,14.2715,-0.3017000000000003,-0.0377409953213152,-1.88704976606576,0.0591830092147453,10,0.1212884191166151,-0.7296320736858931,False,False
"RS[7,4]",Reward,Planning (d=4),EFE w=1 (d=4),13.9698,15.9604,-1.9906000000000008,-0.2543559556290788,-12.717797781453944,9.109715770990786e-37,10,1.106665453283122e-08,-4.668099285873618,True,True
"RS[7,4]",Reward,Plan+IG w=5 (d=4),Plan+IG w=10 (d=4),14.5576,14.2715,0.2861000000000011,0.0337195247692769,1.6859762384638464,0.0918315789588165,10,0.1819688775135348,0.6209006673553901,False,False
"RS[7,4]",Reward,Plan+IG w=5 (d=4),EFE w=1 (d=4),14.5576,15.9604,-1.4027999999999992,-0.1684704777644707,-8.423523888223535,4.156464717555356e-17,10,3.1808663756602944e-06,-2.9693920182271683,True,True
"RS[7,4]",Reward,Plan+IG w=10 (d=4),EFE w=1 (d=4),14.2715,15.9604,-1.6889000000000003,-0.2032339788704551,-10.161698943522756,3.8513018464311856e-24,10,2.726266883602398e-07,-3.555009622440131,True,True
"RS[7,4]",Bad,Greedy,Flat-MC (1000),2.0188,0.0434,1.9754,2.686464005934715,134.32320029673576,0.0,10,9.44655210115025e-16,48.69825927565754,True,True
"RS[7,4]",Bad,Greedy,Planning (d=4),2.0188,0.0498,1.969,2.671585478613561,133.57927393067806,0.0,10,1.0998354484411986e-15,48.59696025380467,True,True
"RS[7,4]",Bad,Greedy,Plan+IG w=5 (d=4),2.0188,0.0066,2.0122,2.784519351243355,139.22596756216774,0.0,10,1.2767644403704168e-15,49.82803401741849,True,True
"RS[7,4]",Bad,Greedy,Plan+IG w=10 (d=4),2.0188,0.0078,2.011,2.7812840996039787,139.06420498019895,0.0,10,1.4737235423702396e-15,49.863591200176295,True,True
"RS[7,4]",Bad,Greedy,EFE w=1 (d=4),2.0188,0.0054,2.0134000000000003,2.7877630117577143,139.38815058788572,0.0,10,1.4875409673264758e-15,49.932651997758754,True,True
"RS[7,4]",Bad,Flat-MC (1000),Planning (d=4),0.0434,0.0498,-0.0063999999999999,-0.0298312688795068,-1.4915634439753442,0.1358452705439095,10,0.0551651096473034,-0.9174114865295938,False,False
"RS[7,4]",Bad,Flat-MC (1000),Plan+IG w=5 (d=4),0.0434,0.0066,0.0368,0.2325509388514254,11.62754694257127,6.0526047897187965e-31,10,5.59821890917712e-10,5.983761810550733,True,True
"RS[7,4]",Bad,Flat-MC (1000),Plan+IG w=10 (d=4),0.0434,0.0078,0.0356,0.2223570487179115,11.117852435895577,1.8169741467926605e-28,10,2.2095083122028836e-09,6.145649406085296,True,True
"RS[7,4]",Bad,Flat-MC (1000),EFE w=1 (d=4),0.0434,0.0054,0.038,0.2430285095049228,12.151425475246144,1.352541433292569e-33,10,1.1914891004356187e-09,6.621642835894566,True,True
"RS[7,4]",Bad,Planning (d=4),Plan+IG w=5 (d=4),0.0498,0.0066,0.0431999999999999,0.2602990230687577,13.01495115343789,3.105987228877322e-38,10,1.2178520763768096e-11,7.408738878156381,True,True
"RS[7,4]",Bad,Planning (d=4),Plan+IG w=10 (d=4),0.0498,0.0078,0.0419999999999999,0.2503942704601509,12.519713523007544,1.4824877458648195e-35,10,5.770793673201303e-11,7.702425219376666,True,True
"RS[7,4]",Bad,Planning (d=4),EFE w=1 (d=4),0.0498,0.0054,0.0443999999999999,0.2704563725384535,13.522818626922678,4.4693026717752456e-41,10,3.596179086018283e-11,8.229123482026669,True,True
"RS[7,4]",Bad,Plan+IG w=5 (d=4),Plan+IG w=10 (d=4),0.0066,0.0078,-0.0011999999999999,-0.0141922618759086,-0.7096130937954307,0.4779607592058782,10,0.5450964491243047,-0.2761073959850532,False,False
"RS[7,4]",Bad,Plan+IG w=5 (d=4),EFE w=1 (d=4),0.0066,0.0054,0.0011999999999999,0.0155375343844178,0.7768767192208916,0.4372500688527587,10,0.538563200372622,0.2807705767852485,False,False
"RS[7,4]",Bad,Plan+IG w=10 (d=4),EFE w=1 (d=4),0.0078,0.0054,0.0023999999999999,0.029640222532262,1.4820111266131013,0.1383698789393518,10,0.1686728732845942,0.6414269805898184,False,False
