,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward
Myopic,MyopicAgent,1.0,0.0,0.8112781244591326,0.75,0.754,0.40800000000000003,0.8613570688164113
InformationGain,InformationGainAgent,3.168,2.02281388170044,0.4689955935892813,0.9000000000000002,0.898,0.4792,0.6347025760149395
VFE,VFEAgent,1.0,0.0,0.8112781244591326,0.75,0.76,0.4200000000000001,0.854166260162505
