Environment,Agent,Reward,Reward CI,Success,Success CI,Obs,Obs CI
Tiger,Myopic,-7.17,"[-9.59, -4.86]",85.3%,"[83.1%, 87.4%]",1.00,"[1.00, 1.00]"
Tiger,Planning,+5.50,"[+5.07, +5.85]",99.7%,"[99.3%, 100.0%]",4.17,"[4.05, 4.29]"
Tiger,InfoGain-Tuned,+5.23,"[+4.64, +5.71]",99.4%,"[98.9%, 99.8%]",4.11,"[4.00, 4.22]"
Tiger,Planning+IG,+5.28,"[+4.79, +5.67]",99.6%,"[99.2%, 99.9%]",4.28,"[4.15, 4.40]"
Tiger,VFE,+4.77,"[+4.08, +5.36]",99.1%,"[98.5%, 99.6%]",4.24,"[4.12, 4.37]"
Testbed,Myopic,+0.37,"[+0.32, +0.42]",73.6%,"[70.9%, 76.2%]",1.00,"[1.00, 1.00]"
Testbed,Planning,+0.47,"[+0.43, +0.51]",89.3%,"[87.3%, 91.2%]",3.19,"[3.07, 3.30]"
Testbed,InfoGain-Tuned,+0.00,"[-0.03, +0.03]",99.9%,"[99.7%, 100.0%]",9.96,"[9.64, 10.30]"
Testbed,Planning+IG,-0.19,"[-0.22, -0.15]",100.0%,"[100.0%, 100.0%]",11.89,"[11.53, 12.25]"
Testbed,VFE,+0.34,"[+0.30, +0.37]",95.1%,"[93.7%, 96.4%]",5.63,"[5.44, 5.83]"
Diagnosis,Myopic,-13.54,"[-15.34, -11.80]",64.1%,"[61.1%, 67.0%]",2.00,"[2.00, 2.00]"
Diagnosis,Planning,-2.13,"[-3.31, -1.02]",89.6%,"[87.7%, 91.4%]",5.89,"[5.75, 6.03]"
Diagnosis,InfoGain-Tuned,-1.28,"[-1.96, -0.65]",97.4%,"[96.4%, 98.4%]",9.72,"[9.48, 9.96]"
Diagnosis,Planning+IG,-1.94,"[-2.70, -1.24]",96.4%,"[95.2%, 97.5%]",9.78,"[9.54, 10.02]"
Diagnosis,VFE,-1.43,"[-2.12, -0.76]",96.9%,"[95.8%, 97.9%]",9.57,"[9.33, 9.81]"
Bandit,Myopic,+5.51,"[+5.24, +5.78]",61.5%,"[58.5%, 64.5%]",2.05,"[1.99, 2.10]"
Bandit,Planning,+5.69,"[+5.44, +5.94]",69.2%,"[66.3%, 72.0%]",3.08,"[2.95, 3.21]"
Bandit,InfoGain-Tuned,+4.34,"[+4.12, +4.54]",99.5%,"[99.0%, 99.9%]",11.23,"[10.84, 11.65]"
Bandit,Planning+IG,+4.15,"[+3.96, +4.33]",100.0%,"[100.0%, 100.0%]",11.71,"[11.34, 12.09]"
Bandit,VFE,+6.17,"[+5.96, +6.38]",85.8%,"[83.7%, 87.9%]",5.10,"[4.91, 5.29]"
