,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,time_s
Myopic,MyopicAgent,2.0,0.0,1.4438561897747242,0.6400000000000003,0.637,-13.78,28.8518907526006,0.1233367919921875
Planning,PlanningAgent,5.934,2.3442789936353567,0.645513917794796,0.8858131487889271,0.897,-2.114,18.455324543339792,1.8457667827606201
InfoGain,InformationGainAgent,2.0,0.0,1.4438561897747242,0.6400000000000003,0.63,-14.2,28.968258490975945,1.247143268585205
InfoGain-Tuned,InformationGainAgent,12.892,4.494033377713165,0.07350590772627746,0.9922330391073294,0.991,-3.432,7.148522644574892,5.5243821144104
Planning+IG,PlanningInfoGainAgent,13.232,4.567075212868735,0.07350590772627746,0.9922330391073294,0.993,-3.652,6.960380449372003,116.64705991744995
EpistemicOnly,EpistemicOnlyAgent,200.0,0.0,1.0,0.5,0.0,-200.0,0.0,1613.4688420295715
VFE,VFEAgent,9.852,3.979207961391312,0.2293510106722934,0.9694674556213022,0.972,-1.532,10.521833300333169,87.32800316810608
