agent,mean_reward,std_reward,mean_good,mean_bad,mean_steps,time_s
Greedy,4.032,17.23713943785337,1.5016,1.4984,12.0,0.08809709548950195
POMCP (1000),9.5,0.0,0.0,0.0,1.0,17.2058048248291
Planning+IG (w=5),8.6358,10.695197911212302,1.1512,0.3192,19.3684,0.3926668167114258
Planning+IG (w=10),8.6358,10.695197911212302,1.1512,0.3192,19.3684,0.3925900459289551
EFE (w=1),8.6282,10.632462779619782,1.1636,0.3284,19.4476,0.4086599349975586
EFE (w=5),8.6358,10.695197911212302,1.1512,0.3192,19.3684,0.3917398452758789
