instance,agent,mean_reward,std_reward,se_reward,accuracy,mean_correct,mean_missed,mean_false_alarm,mean_tests,completion_rate,mean_steps,time_s
Inspection-N16,Greedy,-236.32,106.04398898570348,7.498442371586248,0.7009375,11.215,4.785,0.0,0.0,1.0,55.0,0.04614877700805664
Inspection-N16,Planning (d=2),-43.53,25.979397606565094,1.837020821874374,0.7878125,12.605,0.205,3.19,22.64,1.0,93.64,8.095355987548828
Inspection-N16,Plan+IG w=5 (d=2),-46.24,30.70765214079383,2.171358906307292,0.906875,14.51,0.28,1.21,28.1,1.0,95.1,9.241981029510498
Inspection-N16,EFE w=1 (d=2),-45.6675,28.337266871559788,2.003747356517283,0.8575,13.72,0.26,2.02,32.91,1.0,103.91,9.28114914894104
