,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward
Myopic,MyopicAgent,1.0,0.0,0.6098403047164005,0.8499999999999998,0.842,-8.38,40.12151044016164
Planning,PlanningAgent,4.206,1.892502047555035,0.048939703041439526,0.9945344129554653,0.993,5.024,9.359029009464605
InfoGain,InformationGainAgent,1.0,0.0,0.6098403047164005,0.8499999999999998,0.842,-8.38,40.12151044016164
InfoGain-Tuned,InformationGainAgent,4.24,2.0195048898182937,0.048939703041439526,0.9945344129554653,0.995,5.21,8.041884107595681
Planning+IG,PlanningInfoGainAgent,4.298,2.0394106991971968,0.048939703041439526,0.9945344129554653,0.991,4.712,10.569250493767285
EpistemicOnly,EpistemicOnlyAgent,0.0,0.0,1.0,0.5,0.505,-44.45,54.99724993124655
VFE,VFEAgent,4.288,2.0584110376695905,0.048939703041439526,0.9945344129554653,0.996,5.272,7.315054066785836
PyMDP-AIF,PyMDPAgent,2.73,1.3111445381802878,0.19540057665116498,0.9697986577181207,0.97,3.97,18.810930333186608
