env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,significant_hb
DIAGNOSIS EXPERIMENT (N=4),Reward,Planning+IG,EFE,-3.6328,"[-3.825, -3.447]",-1.4968,"[-1.811, -1.204]",-2.136,-0.23532328727552537,-11.766164363776266,9.440632975221373e-32,True
DIAGNOSIS EXPERIMENT (N=4),Reward,Planning+IG,Thompson,-3.6328,"[-3.825, -3.447]",-2.718,"[-3.244, -2.197]",-0.9148000000000001,-0.06333331368983032,-3.166665684491516,0.0015466084569124884,True
DIAGNOSIS EXPERIMENT (N=4),Reward,EpistemicOnly,EFE,-200.0,"[-200.000, -200.000]",-1.4968,"[-1.811, -1.204]",-198.5032,-25.932667379373445,-1296.6333689686721,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Reward,EpistemicOnly,Thompson,-200.0,"[-200.000, -200.000]",-2.718,"[-3.244, -2.197]",-197.282,-14.510815663468389,-725.5407831734195,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Reward,EFE,Thompson,-1.4968,"[-1.811, -1.204]",-2.718,"[-3.244, -2.197]",1.2212,0.07827074392153598,3.913537196076799,9.155695606902164e-05,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,Planning,0.642,"[0.629, 0.655]",0.8924,"[0.884, 0.901]",-0.25039999999999996,-0.6202853653930012,-31.014268269650056,1.0126636191649316e-201,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,InfoGain,0.642,"[0.629, 0.655]",0.6404,"[0.627, 0.654]",0.0016000000000000458,0.0033354480350728227,0.16677240175364114,0.8675525073100925,False
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,InfoGain-Tuned,0.642,"[0.629, 0.655]",0.992,"[0.989, 0.994]",-0.35,-1.0149841327485565,-50.749206637427825,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,Planning+IG,0.642,"[0.629, 0.655]",0.993,"[0.991, 0.995]",-0.351,-1.019999016241226,-50.99995081206131,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,EpistemicOnly,0.642,"[0.629, 0.655]",0.0,"[0.000, 0.000]",0.642,1.8936406365346081,94.68203182673042,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,EFE,0.642,"[0.629, 0.655]",0.9706,"[0.966, 0.975]",-0.3286,-0.9141483973289298,-45.70741986644649,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Myopic,Thompson,0.642,"[0.629, 0.655]",0.8854,"[0.877, 0.894]",-0.24339999999999995,-0.5979702236856448,-29.89851118428224,3.34839440822541e-188,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,InfoGain,0.8924,"[0.884, 0.901]",0.6404,"[0.627, 0.654]",0.252,0.6238165032450914,31.19082516225457,6.741346961422677e-204,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,InfoGain-Tuned,0.8924,"[0.884, 0.901]",0.992,"[0.989, 0.994]",-0.09960000000000002,-0.4368189225459899,-21.840946127299496,2.4101108980936264e-103,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,Planning+IG,0.8924,"[0.884, 0.901]",0.993,"[0.991, 0.995]",-0.10060000000000002,-0.4433098242396726,-22.165491211983632,2.617511613994507e-106,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,EpistemicOnly,0.8924,"[0.884, 0.901]",0.0,"[0.000, 0.000]",0.8924,4.072351055922927,203.61755279614636,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,EFE,0.8924,"[0.884, 0.901]",0.9706,"[0.966, 0.975]",-0.07820000000000005,-0.31332331528357005,-15.666165764178503,1.1479436533629607e-54,True
DIAGNOSIS EXPERIMENT (N=4),Success,Planning,Thompson,0.8924,"[0.884, 0.901]",0.8854,"[0.877, 0.894]",0.007000000000000006,0.022273992070846117,1.113699603542306,0.2654348527211672,False
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain,InfoGain-Tuned,0.6404,"[0.627, 0.654]",0.992,"[0.989, 0.994]",-0.3516,-1.0186566389861436,-50.93283194930718,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain,Planning+IG,0.6404,"[0.627, 0.654]",0.993,"[0.991, 0.995]",-0.3526,-1.0236723575148472,-51.183617875742364,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain,EpistemicOnly,0.6404,"[0.627, 0.654]",0.0,"[0.000, 0.000]",0.6404,1.887067278702399,94.35336393511994,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain,EFE,0.6404,"[0.627, 0.654]",0.9706,"[0.966, 0.975]",-0.33020000000000005,-0.917797344647357,-45.88986723236785,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain,Thompson,0.6404,"[0.627, 0.654]",0.8854,"[0.877, 0.894]",-0.245,-0.6014909804783731,-30.074549023918657,2.625048011107368e-190,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain-Tuned,Planning+IG,0.992,"[0.989, 0.994]",0.993,"[0.991, 0.995]",-0.0010000000000000009,-0.011589587263928345,-0.5794793631964172,0.5622788236892592,False
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain-Tuned,EpistemicOnly,0.992,"[0.989, 0.994]",0.0,"[0.000, 0.000]",0.992,15.746440867700867,787.3220433850433,0.0,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain-Tuned,EFE,0.992,"[0.989, 0.994]",0.9706,"[0.966, 0.975]",0.021399999999999975,0.15845563609102806,7.922781804551402,2.569946745745636e-15,True
DIAGNOSIS EXPERIMENT (N=4),Success,InfoGain-Tuned,Thompson,0.992,"[0.989, 0.994]",0.8854,"[0.877, 0.894]",0.10660000000000003,0.4557371905181785,22.786859525908927,4.294726162929102e-112,True
