,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,time_s
Myopic,MyopicAgent,0.0,0.0,5.169925001442314,0.027777777777777783,0.0268,-48.392,9.68990897790067,0.584399938583374
Planning,PlanningAgent,15.6828,3.9947696003649575,1.6390485150292864,0.7382405943778936,0.7368,-21.4748,26.557359901917962,251.06195211410522
InfoGain,InformationGainAgent,5.2092,0.6967319140099727,3.78198473641404,0.30827276190476194,0.2964,-37.4252,27.391524327061465,57.60739302635193
InfoGain-Tuned,InformationGainAgent,32.322,8.563031939681178,0.19798796965370039,0.9793437455301042,0.9804,-23.498,12.073822758347912,105.11581897735596
Planning+IG,PlanningInfoGainAgent,33.3772,8.37738146200828,0.1705437375171197,0.9824255132284602,0.9844,-24.3132,11.357037719405533,6982.179212093353
EpistemicOnly,EpistemicOnlyAgent,200.0,0.0,4.169925001442313,0.055555555555555566,0.0,-200.0,0.0,14393.625303983688
EFE,EFEAgent,14.8144,4.176787358724406,1.7266886425170789,0.723723092084007,0.728,-21.1344,27.011870291410776,636.1352891921997
