instance,agent,mean_reward,std_reward,se_reward,accuracy,mean_correct,mean_missed,mean_false_alarm,mean_tests,completion_rate,mean_steps,time_s
Inspection-N8,Greedy,-113.71333333333334,66.58566779386955,2.718348504624194,0.7002083333333333,5.601666666666667,2.3983333333333334,0.0,0.0,1.0,18.0,0.036180973052978516
Inspection-N8,Planning (d=3),-13.66,16.874543944454718,0.688900371768097,0.7645833333333333,6.116666666666666,0.06666666666666667,1.8166666666666667,13.003333333333334,1.0,33.00333333333333,27.793902158737183
Inspection-N8,Plan+IG w=5 (d=3),-18.945,21.745811282482276,0.8877690280823174,0.9304166666666667,7.443333333333333,0.17,0.38666666666666666,13.791666666666666,1.0,38.791666666666664,35.16401696205139
Inspection-N8,EFE w=1 (d=3),-13.855833333333333,18.326405338715198,0.7481723649878292,0.8860416666666666,7.088333333333333,0.09666666666666666,0.815,14.743333333333334,1.0,34.74333333333333,29.696791172027588
