,agent,mean_observations,std_observations,mean_final_entropy,mean_confidence,success_rate,mean_reward,std_reward,time_s
Myopic,MyopicAgent,2.052,0.8793725035501168,1.5219043436774604,0.6171781818181818,0.62,5.554,4.343395445961604,0.1549391746520996
Planning,PlanningAgent,3.215,2.3079807191569,1.3114425287465723,0.6884208602615164,0.701,5.7015,4.026120682493261,0.9746599197387695
InfoGain,InformationGainAgent,2.027,0.8627114233624126,1.5270092902375236,0.6154077922077922,0.614,5.5125,4.386866051066524,2.3658370971679688
InfoGain-Tuned,InformationGainAgent,9.522,5.553333773509387,0.08962127402987222,0.990677517457145,0.993,5.176,2.9295091739061,8.06072187423706
Planning+IG,PlanningInfoGainAgent,12.443,6.243776981923682,0.016143850782528116,0.998683023804598,1.0,3.7785,3.121888490961841,87.98492693901062
EpistemicOnly,EpistemicOnlyAgent,0.0,0.0,2.0,0.25,0.238,3.142,3.8327321847475866,6.495164155960083
VFE,VFEAgent,5.165,3.299056683356623,0.7606692603193954,0.8665358739314041,0.861,6.1665,3.547749674089196,39.92335915565491
